Timestamp,Location,ID,Site_Vial_ID_(SPS_4_digit_numeric_code),Date_[mm/dd/yyyy],Time_Zone,Field_Staff_[first_name_last_name],Time_Arriving_[24_hr_hh:mm],Time_Leaving_[24_hr_hh_mm],Weather,Vegetation,Stream_Hydrogeomorphology,Stream_Gradient,Dominant_Sediment_Type,Canopy_Coverage,Macrophyte_Coverage,Algal_Mat_Coverage,Latitude_[dd],Longitude_[dd],GPS_Accuracy_[ft],MiniDot_Start_Time_[24_hr_hh:mm],Equilibration_Start_Time_[24_hr_hh:mm],Equilibration_End_Time_[24_hr_hh:mm],Test_Start_Time_[24_hr_hh:mm],Test_End_Time_[24_hr_hh:mm],MiniDot_End_Time_[24_hr_hh:mm],MiniDot_Serial_Number,Temperature_[degC]-1,SpC_[uS/cm]-1,pH-1,TDS_[ppm]-1,Time_[24_hr_hh:mm]-1,Temperature_[degC]-2,SpC_[uS/cm]-2,pH-2,TDS_[ppm]-2,Time_[24_hr_hh:mm]-2,Temperature_[degC]-3,SpC_[uS/cm]-3,pH-3,TDS_[ppm]-3,Time_[24_hr_hh:mm]-3,BaroTroll_Serial_Number,Manta_Time_Turned_On_[24_hr_hh:mm],Manta_Start_Time_[24_hr_hh:mm],Manta_End_Time_[24_hr_hh:mm],Manta_Time_Turned_Off_[24_hr_hh:mm],Manta_Serial_Number,Notes,Material,Collection method description,Field program/cruise,Country
9/21/21 8:07,Temporal Sites,RC3_01,SPS_0057,9/14/21,PST,"Lupita_Renteria, Morgan_Barnes",9:00,11:26,Sunny,"Shrub, Grass",Single-channel meandering,"Relatively flat/gentle gradient (e.g., valleys)",Gravel/cobble (>2mm),Low,Low,None,46.832844,-120.710935,13,8:36,9:03,9:23,9:26,11:26,14:50,412314_681364_255981,13.1,175.2,8.05,117.1,9:12,12.9,176,8.04,117.9,9:13,12.8,175.8,8.04,117.9,9:15,801493,9:15,9:17,11:27,14:49,03214660L,*RC3 Wenas_in_Fire* Algae on rocks but not surface water. For rocks 30-70% ,Liquid>Aqueous,Grab>Water,US Department of Energy River Corridor Science Focus Area,United States
9/21/21 8:16,Temporal Sites,RC3_02,SPS_0058,9/14/21,PST,"Lupita_Renteria, Morgan_Barnes",12:20,14:55,Sunny,"Broadleaf deciduous tree, Grass",Single-channel meandering,"Relatively flat/gentle gradient (e.g., valleys)",Gravel/cobble (>2mm),Low,None,None,46.867453,-120.77439,16,8:36,12:22,12:44,12:48,14:48,14:50,412314_681364_255981,14,124.3,8.05,80.6,1:59,13.9,123.8,8.09,81.64,1:59,13.7,124,8.07,81.95,1:59,801493,9:15,12:41,14:48,14:49,03214660L,*RC3 wenas_upstream* We could not fill the chambers under water because the stream was too shallow. We had to use the pitcher to fill the bottle. ,Liquid>Aqueous,Grab>Water,US Department of Energy River Corridor Science Focus Area,United States
9/21/21 8:29,Temporal Sites,RC3_03,SPS_0059,9/15/21,PST,"Lupita_Renteria, Morgan_Barnes",13:17,15:59,Overcast,"Shrub, Grass",Single-channel meandering,"Relatively flat/gentle gradient (e.g., valleys)",Gravel/cobble (>2mm),Med,High,High,46.898642,-120.642233,15,13:18,13:30,13:50,13:55,15:55,15:56,412314_681364_255981,13.7,202.6,7.48,136.6,13:39,13.1,202.6,7.53,136.9,13:40,13,203.1,7.51,137.3,13:40,801493,10:23,13:35,-9999,-9999,03214660L,*RC3 umtanum_infire* There is going to be algae in the TSS sample. It was unavoidable. Did not turn on manta - turned it off after RC3 normal sampling sites and didn't turn back on. ,Liquid>Aqueous,Grab>Water,US Department of Energy River Corridor Science Focus Area,United States
9/14/21 9:50,Cle Elum,S13R,SPS_0025,8/30/21,PST,"Mikayla_Borton, James_Stegen",-9999,-9999,Partly cloudy,"Needleleaf evergreen tree, Broadleaf deciduous tree",Single-channel straight,"Relatively flat/gentle gradient (e.g., valleys)",Gravel/cobble (>2mm),None,None,Med,47.420551,-121.086972,21,7:00,8:15,8:36,8:41,10:41,14:42,942543_389834_299254,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,802197,7:06,8:19,10:32,13:40,03214658L,N/A,Liquid>Aqueous,Grab>Water,US Department of Energy River Corridor Science Focus Area,United States
9/14/21 9:02,Cle Elum,S14,SPS_0021,8/30/21,PST,"Mikayla_Borton, James_Stegen",10:53,-9999,Sunny,"Needleleaf evergreen tree, Broadleaf deciduous tree",Single-channel straight,"Relatively flat/gentle gradient (e.g., valleys)",Gravel/cobble (>2mm),None,None,Low,47.41986,-121.087854,27,7:00,10:54,11:14,11:23,13:23,14:42,942543_389834_299254,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,802197,7:06,11:07,13:21,13:40,03214658L,Lots of bedrock in riparian zone,Liquid>Aqueous,Grab>Water,US Department of Energy River Corridor Science Focus Area,United States
9/13/21 17:24,Cle Elum,S15,SPS_0015,9/1/21,PST,"Mikayla_Borton, James_Stegen",8:20,15:29,Sunny,"Needleleaf evergreen tree, Broadleaf deciduous tree",Single-channel straight,"Relatively steep gradient (e.g., mountainous or hilly terrain)",Gravel/cobble (>2mm),Low,None,Low,47.363498,-121.106919,30,7:11,8:24,8:44,8:47,10:47,15:29,299254_942543_389834,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,802179,7:42,8:27,10:29,15:35,03214658L,None,Liquid>Aqueous,Grab>Water,US Department of Energy River Corridor Science Focus Area,United States
9/13/21 15:51,Cle Elum,S17R,SPS_0014,8/31/21,PST,"Mikayla_Borton, James_Stegen",6:38,10:00,Partly cloudy,"Needleleaf evergreen tree, Broadleaf deciduous tree",Multi-channel,"Relatively flat/gentle gradient (e.g., valleys)",Gravel/cobble (>2mm),None,None,Low,47.394429,-121.10174,21,6:38,7:35,7:55,7:59,9:59,18:13,299254_389834_942543,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,802197,6:41,7:41,9:59,18:04,03214658L,riparian zone some sand and lots of down branches,Liquid>Aqueous,Grab>Water,US Department of Energy River Corridor Science Focus Area,United States
9/14/21 8:38,Cle Elum,S18R,SPS_0019,8/31/21,PST,"Mikayla_Borton, James_Stegen",10:23,13:21,"Overcast, Some sun","Needleleaf evergreen tree, Broadleaf deciduous tree",Single-channel straight,"Relatively flat/gentle gradient (e.g., valleys)",Gravel/cobble (>2mm),None,None,Med,47.39603,-121.096933,43,6:38,10:33,10:53,10:57,12:57,18:13,299254_389834_942543,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,802197,6:41,10:40,12:40,18:04,03214658L,deeper middle channel just beyond sampling location,Liquid>Aqueous,Grab>Water,US Department of Energy River Corridor Science Focus Area,United States
9/15/21 15:32,American,S19,SPS_0042,8/30/21,PST,"Sophia_McKever, Sammi_Grieger",8:45,11:34,Sunny,"Needleleaf evergreen tree, Broadleaf deciduous tree",Single-channel straight,"Relatively flat/gentle gradient (e.g., valleys)",Gravel/cobble (>2mm),Med,None,Low,47.258225,-120.904118,33,8:49,9:06,9:26,9:31,11:30,16:52,255981_412314_681364,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,802185,9:19,9:24,11:23,16:47,03214657L,"ice packs were not put in cooler #1 at the start of day, BaroTroll taken down at 11:32",Liquid>Aqueous,Grab>Water,US Department of Energy River Corridor Science Focus Area,United States
9/15/21 15:48,American,S19E,SPS_0044,8/30/21,PST,"Sophia_McKever, Sammi_Grieger",14:32,16:55,"Sunny, Windy","Broadleaf deciduous tree, Shrub",Multi-channel,"Relatively flat/gentle gradient (e.g., valleys)",Bedrock (primarily),Low,None,Low,47.255067,-120.878922,48,8:49,14:32,14:48,14:51,16:48,16:52,255891_412314_681364,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,802185,9:19,14:34,16:43,16:47,03214657L,N/A,Liquid>Aqueous,Grab>Water,US Department of Energy River Corridor Science Focus Area,United States
