site_no,nearest_feature,stream_order,d50_mm,distance_from_rc_m,index,rc_site,long,lat
12478300,6026,5,0.5925925925925924,126.40517744307994,14,S24R,-121.1073122,47.355116089999996
12500900,5632,3,0.08098591549295774,22349.2957312527,31,S55,-120.95757420000001,46.49206588
12479720,484,2,0.29310344827586204,9058.094620107322,15,S25,-120.86758429999999,47.341508399999995
12500437,6012,4,0.21999999999999997,4471.571609905834,32,S56,-120.6106234,46.582070279999996
463501120353300,6012,4,0.08088235294117646,4744.879090529712,40,S77,-120.59367850000001,46.5834593
12484550,110,3,0.20657894736842103,963.9385359005706,35,S68,-120.49728980000002,46.8573485
12507508,1087,5,0.2692307692307691,30.976909827653547,24,S36,-120.1992173,46.31429625999999
12508620,1098,5,0.09103260869565216,6243.991250094071,24,S36,-120.14338109999998,46.273741199999996
461744119522400,2884,1,0.11874999999999997,11938.277241906942,44,T02,-119.8744822,46.29541
461652119522000,2889,2,0.09056122448979592,11142.986865859622,44,T02,-119.8733709,46.280965589999994
12510500,4312,7,0.23671259842519685,371.9773001813604,47,T07,-119.4780794,46.25346748
