stream_order,site_id,long,lat,type,folder,label,d50_mm_yolo,d50_mm_nexss,d50_mm_abeshu
4,S14,-121.087854,47.41986,Prediction1,no,3,36.050203,24.79009001,1.3633813
4,S14,-121.087854,47.41986,Prediction1,no,3,44.853009,24.79009001,1.3633813
4,S14,-121.087854,47.41986,Prediction1,no,3,48.631931,24.79009001,1.3633813
4,S14,-121.087854,47.41986,Prediction1,no,3,33.131389999999996,24.79009001,1.3633813
4,S14,-121.087854,47.41986,Prediction1,no,3,40.645545999999996,24.79009001,1.3633813
4,S14,-121.087854,47.41986,Prediction1,yes,5,62.875602,24.79009001,1.3633813
2,S15,-121.106919,47.363498,Train1,none,0,15.23065,14.477327,0.6839447
2,S15,-121.106919,47.363498,Prediction1,maybe,2,45.829932,14.477327,0.6839447
2,S15,-121.106919,47.363498,Prediction1,maybe,2,44.063602,14.477327,0.6839447
2,S15,-121.106919,47.363498,Prediction1,test,4,22.355255,14.477327,0.6839447
2,S15,-121.106919,47.363498,Prediction1,yes,5,21.998008,14.477327,0.6839447
2,S15,-121.106919,47.363498,Prediction1,yes,5,14.782914,14.477327,0.6839447
2,S15,-121.106919,47.363498,Prediction1,yes,5,39.988636,14.477327,0.6839447
2,S15,-121.106919,47.363498,Prediction1,yes,5,14.201234999999999,14.477327,0.6839447
6,S23,-120.918817,47.185944,Prediction1,yes,5,15.404561000000001,65.5549375,1.9481776
6,S23,-120.918817,47.185944,Prediction1,yes,5,12.7792,65.5549375,1.9481776
6,S23,-120.918817,47.185944,Prediction1,yes,5,13.268397,65.5549375,1.9481776
6,S23,-120.918817,47.185944,Prediction1,yes,5,20.77466,65.5549375,1.9481776
4,S31,-120.480969,46.205978,Prediction1,VerticalQuadrat,1,18.157705999999997,3.430043875,0.605099
4,S31,-120.480969,46.205978,Prediction1,maybe,2,18.157705999999997,3.430043875,0.605099
4,S31,-120.480969,46.205978,Prediction1,no,3,19.904418,3.430043875,0.605099
4,S31,-120.480969,46.205978,Prediction1,no,3,18.140627,3.430043875,0.605099
5,S32,-120.41915470000001,46.23559571,Prediction1,maybe,2,23.066739,2.0958457,1.2134471
5,S32,-120.41915470000001,46.23559571,Prediction1,yes,5,21.524364000000002,2.0958457,1.2134471
5,S36,-120.199171,46.314573,Prediction1,VerticalQuadrat,1,22.061718000000003,0.4924213,0.663722
5,S36,-120.199171,46.314573,Prediction1,no,3,31.757131,0.4924213,0.663722
5,S36,-120.199171,46.314573,Prediction1,no,3,22.061718000000003,0.4924213,0.663722
3,S37,-120.611858,46.028244,Prediction1,maybe,2,25.739469,2.184004552,0.5007477
3,S37,-120.611858,46.028244,Prediction1,no,3,20.392003,2.184004552,0.5007477
3,S37,-120.611858,46.028244,Prediction1,no,3,45.665357,2.184004552,0.5007477
3,S37,-120.611858,46.028244,Prediction1,yes,5,20.661334,2.184004552,0.5007477
2,S38,-120.636526,46.029003,Prediction1,maybe,2,27.547443,1.961461408,1.496712
2,S38,-120.636526,46.029003,Prediction1,maybe,2,22.694039,1.961461408,1.496712
2,S38,-120.636526,46.029003,Prediction1,maybe,2,27.249921999999998,1.961461408,1.496712
2,S38,-120.636526,46.029003,Prediction1,no,3,22.10198,1.961461408,1.496712
2,S39,-120.649701,46.016704,Prediction1,maybe,2,21.534419,1.891390454,2.1839554
2,S39,-120.649701,46.016704,Prediction1,maybe,2,22.514405,1.891390454,2.1839554
2,S39,-120.649701,46.016704,Prediction1,maybe,2,35.698077000000005,1.891390454,2.1839554
2,S39,-120.649701,46.016704,Prediction1,maybe,2,27.392638,1.891390454,2.1839554
2,S39,-120.649701,46.016704,Prediction1,maybe,2,30.848738,1.891390454,2.1839554
2,S39,-120.649701,46.016704,Prediction1,no,3,30.37849,1.891390454,2.1839554
5,S51,-120.803616,46.729878,Prediction1,maybe,2,23.498708,41.76372637,0.7623739
5,S51,-120.803616,46.729878,Prediction1,yes,5,14.948799000000001,41.76372637,0.7623739
4,S55,-120.805047,46.663547,Prediction1,maybe,2,24.605564,4.707493925,1.2141032
4,S56,-120.626954,46.620687,Prediction1,maybe,2,18.093423,1.452887896,0.2818825
4,S63,-120.573226,46.041823,Prediction1,VerticalQuadrat,1,29.336159000000002,4.070785795,0.59107137
4,S63,-120.573226,46.041823,Prediction1,no,3,29.336159000000002,4.070785795,0.59107137
4,S63,-120.573226,46.041823,Prediction1,no,3,22.072390000000002,4.070785795,0.59107137
4,S63,-120.573226,46.041823,Prediction1,no,3,35.586287,4.070785795,0.59107137
7,T02,-119.999901,46.232095,Prediction1,no,3,20.553010999999998,0.6258384,0.28501967
7,T03,-120.470337,46.530817,Prediction1,maybe,2,17.005788000000003,2.0336484,0.94312614
7,T03,-120.470337,46.530817,Prediction1,yes,5,15.46147,2.0336484,0.94312614
7,T07,-119.47405,46.255319,Train1,none,0,12.847531,5.1026399,0.42117113
7,T07,-119.47405,46.255319,Prediction1,test,4,11.798741999999999,5.1026399,0.42117113
7,T07,-119.47405,46.255319,Prediction1,yes,5,11.660463,5.1026399,0.42117113
4,S13R,-121.086972,47.420551,Prediction1,no,3,23.409631,42.33093973,1.4370929
4,S13R,-121.086972,47.420551,Prediction1,yes,5,16.144827,42.33093973,1.4370929
4,S13R,-121.086972,47.420551,Prediction1,yes,5,15.694986000000002,42.33093973,1.4370929
4,S13R,-121.086972,47.420551,Prediction1,yes,5,25.728419,42.33093973,1.4370929
4,S13R,-121.086972,47.420551,Prediction1,yes,5,16.294474,42.33093973,1.4370929
4,S13R,-121.086972,47.420551,Prediction1,yes,5,21.206363999999997,42.33093973,1.4370929
4,S13R,-121.086972,47.420551,Prediction1,yes,5,23.637629,42.33093973,1.4370929
3,S17R,-121.10174,47.394429,Prediction1,maybe,2,25.747037,48.66764834,1.3633813
3,S17R,-121.10174,47.394429,Prediction1,maybe,2,36.112302,48.66764834,1.3633813
3,S17R,-121.10174,47.394429,Prediction1,maybe,2,21.440451,48.66764834,1.3633813
3,S17R,-121.10174,47.394429,Prediction1,no,3,20.994172,48.66764834,1.3633813
3,S17R,-121.10174,47.394429,Prediction1,yes,5,22.367015000000002,48.66764834,1.3633813
3,S17R,-121.10174,47.394429,Prediction1,yes,5,14.540539,48.66764834,1.3633813
