site_id,stream_order,median,sd
S13R,4,19.85205262935645,4.57517489018999
S14,4,42.749277342749096,10.679432698880849
S15,2,22.1766314767414,14.17843064858774
S17R,3,20.84902375091675,9.248670796522704
S18R,5,21.79663257317405,14.343978477498112
S21R,5,15.3774808345051,7.517782230696871
S26R,5,29.580179716622403,14.271954620888977
S27R,2,19.099140669916252,8.136862676003654
S30R,4,27.82575558085925,8.738479009949064
S39,2,28.885563844731998,5.390266778178459
S83,3,28.28176192506055,4.111859149676085
W20,4,51.34377379898105,11.087801309167054
