sample_dt,site_no,parm_cd,percent
1988-08-31,12478300,80164,1
1988-08-31,12478300,80165,3
1988-08-31,12478300,80166,18
1988-08-31,12478300,80167,45
1988-08-31,12478300,80168,72
1988-08-31,12478300,80169,100
1989-05-02,12479720,80164,13
1989-05-02,12479720,80165,21
1989-05-02,12479720,80166,45
1989-05-02,12479720,80167,74
1989-05-02,12479720,80168,95
1989-05-02,12479720,80169,100
1988-08-31,12484480,80164,65
1988-08-31,12484480,80165,86
1988-08-31,12484480,80166,95
1988-08-31,12484480,80167,100
1988-08-31,12484480,80168,100
1989-05-04,12484500,80164,64
1989-05-04,12484500,80165,86
1989-05-04,12484500,80166,99
1989-05-04,12484500,80167,100
1989-05-04,12484500,80168,100
1989-05-04,12484500,80169,100
1989-05-03,12484550,80164,21
1989-05-03,12484550,80165,32
1989-05-03,12484550,80166,61
1989-05-03,12484550,80167,85
1989-05-03,12484550,80168,95
1989-05-03,12484550,80169,100
2002-07-30,12484550,80164,6
2002-07-30,12484550,80165,100
1988-08-30,12500430,80164,87
1988-08-30,12500430,80165,96
1988-08-30,12500430,80166,99
1988-08-30,12500430,80167,100
1989-05-01,12500437,80164,25
1989-05-01,12500437,80165,31
1989-05-01,12500437,80166,56
1989-05-01,12500437,80167,94
1989-05-01,12500437,80168,100
1989-05-01,12500437,80169,100
1988-08-30,12500445,80164,62
1988-08-30,12500445,80165,77
1988-08-30,12500445,80166,93
1988-08-30,12500445,80167,99
1988-08-30,12500445,80168,100
1984-03-06,12500450,80164,7
2002-08-01,12500900,80164,29
2002-08-01,12500900,80165,100
1988-09-01,12503640,80164,70
1988-09-01,12503640,80165,83
1988-09-01,12503640,80166,94
1988-09-01,12503640,80167,100
1988-09-01,12503640,80168,100
2015-10-26,12505450,80164,51
2015-10-26,12505450,80165,87
2015-10-26,12505450,80166,98
2015-10-26,12505450,80167,100
1988-09-02,12505460,80164,71
1988-09-02,12505460,80165,97
1988-09-02,12505460,80166,100
1988-09-02,12505460,80167,100
1988-09-01,12507508,80164,36
1988-09-01,12507508,80165,44
1988-09-01,12507508,80166,49
1988-09-01,12507508,80167,62
1988-09-01,12507508,80168,94
1988-09-01,12507508,80169,100
2002-07-31,12508620,80164,8
2002-07-31,12508620,80165,100
1988-08-31,12508850,80164,63
1988-08-31,12508850,80165,94
1988-08-31,12508850,80166,100
1988-08-31,12508850,80167,100
1988-08-31,12508850,80164,73
1988-08-31,12508850,80165,97
1988-08-31,12508850,80166,100
1988-08-31,12508850,80164,50
1988-08-31,12508850,80165,90
1988-08-31,12508850,80166,100
1988-08-31,12508850,80167,100
1984-03-06,12510500,80164,7
1988-08-31,12510500,80164,6
1988-08-31,12510500,80165,13
1988-08-31,12510500,80166,53
1988-08-31,12510500,80167,98
1988-08-31,12510500,80168,100
1988-08-31,12510500,80169,100
2002-06-26,12510500,80164,19
2002-06-26,12510500,80165,100
1988-09-01,461652119522000,80164,28
1988-09-01,461652119522000,80165,77
1988-09-01,461652119522000,80166,99
1988-09-01,461652119522000,80167,100
1988-09-01,461744119522400,80164,23
1988-09-01,461744119522400,80165,53
1988-09-01,461744119522400,80166,92
1988-09-01,461744119522400,80167,99
1988-09-01,461744119522400,80168,100
1988-09-01,463501120353300,80164,45
1988-09-01,463501120353300,80165,62
1988-09-01,463501120353300,80166,81
1988-09-01,463501120353300,80167,96
1988-09-01,463501120353300,80168,100
