Study,Site,Date,ID,Filename,Use?,Notes,
SPS,S13R,20210830,1,SPS_S13R_20210830_1.jpg,yes,good,
SPS,S13R,20210830,113,SPS_S13R_20210830_113.jpg,yes,very big rocks,
SPS,S13R,20210830,18,SPS_S13R_20210830_18.jpg,yes,good,
SPS,S13R,20210830,35,SPS_S13R_20210830_35.jpg,no,water,
SPS,S13R,20210830,51,SPS_S13R_20210830_51.jpg,yes,lots of sand,
SPS,S13R,20210830,69,SPS_S13R_20210830_69.jpg,yes,good,
SPS,S13R,20210830,85,SPS_S13R_20210830_85.jpg,yes,good,
SPS,S14,20210830,1,SPS_S14_20210830_1.jpg,no,single boulder,
SPS,S14,20210830,15,SPS_S14_20210830_15.jpg,no,single boulder,
SPS,S14,20210830,29,SPS_S14_20210830_29.jpg,no,boulder/water,
SPS,S14,20210830,47,SPS_S14_20210830_47.jpg,no,single boulder,
SPS,S14,20210830,64,SPS_S14_20210830_64.jpg,yes,"water, large rocks",
SPS,S14,20210830,81,SPS_S14_20210830_81.jpg,no,water w refraction,
SPS,S15,20210901,1,SPS_S15_20210901_1.jpg,maybe??,dominated by single rock,
SPS,S15,20210901,18,SPS_S15_20210901_18.jpg,yes,good,
SPS,S15,20210901,35,SPS_S15_20210901_35.jpg,yes,good mix,
SPS,S15,20210901,52,SPS_S15_20210901_52.jpg,yes,good,
SPS,S15,20210901,69,SPS_S15_20210901_69.jpg,yes,many small rocks,
SPS,S15,20210901,88,SPS_S15_20210901_88.jpg,maybe??,"water, smaller rocks submerged",
SPS,S17R,20210831,1,SPS_S17R_20210831_1.jpg,maybe??,"sand, some sticks, some water, very complex image",
SPS,S17R,20210831,102,SPS_S17R_20210831_102.jpg,yes,some soil,
SPS,S17R,20210831,119,SPS_S17R_20210831_119.jpg,no,sticks,
SPS,S17R,20210831,135,SPS_S17R_20210831_135.jpg,yes,good!,
SPS,S17R,20210831,152,SPS_S17R_20210831_152.jpg,yes,v good!,
SPS,S17R,20210831,17,SPS_S17R_20210831_17.jpg,yes,large stones,
SPS,S17R,20210831,34,SPS_S17R_20210831_34.jpg,yes,stones overlapping frame,
SPS,S17R,20210831,51,SPS_S17R_20210831_51.jpg,maybe??,partially submerged,
SPS,S17R,20210831,68,SPS_S17R_20210831_68.jpg,yes,water w minimal refraction,
