ID,lat,long
RC3_01,46.832844,-120.710935
RC3_02,46.867453,-120.77439
RC3_03,46.898642,-120.642233
S13R,47.420551,-121.086972
S14,47.41986,-121.087854
S15,47.363498,-121.106919
S17R,47.394429,-121.10174
S18R,47.39603,-121.096933
S19,47.258225,-120.904118
S19E,47.255067,-120.878922
S20R,47.19028,-121.01556
S21R,47.185797,-121.043826
S23,47.185944,-120.918817
S24R,47.354254,-121.108406
S25,47.262537,-120.897057
S26R,47.168488,-120.834427
S27R,47.260155,-121.176851
S28R,47.124215,-120.73804
S28RE,47.123516,-120.73817
S29R,47.082159,-120.733369
S30R,46.09521496,-120.5482254
S31,46.205978,-120.480969
S32,46.23559571,-120.4191547
S36,46.314573,-120.199171
S37,46.028244,-120.611858
S38,46.029003,-120.636526
S39,46.016704,-120.649701
S49R,46.724267,-120.813351
S50,46.631447,-120.521815
S51,46.729878,-120.803616
S55,46.663547,-120.805047
S56,46.620687,-120.626954
S63,46.041823,-120.573226
S67,46.855643,-120.483696
S68,46.855711,-120.484841
S71,46.968185,-120.691204
S72,46.99491,-120.590443
S73,46.98778012,-120.5710861
S75,47.017577,-120.51748
S77,46.625578,-120.583712
S79,46.763844,-120.456432
S82,46.53837,-120.480372
S83,47.239586,-121.227415
T02,46.232095,-119.999901
T03,46.530817,-120.470337
T05,46.728776,-120.713733
T07,46.255319,-119.47405
