COMID,ID,logwbkf_m,logd_m,D50_m,logw_m,length_m,StreamOrder,site_ID
24422913,9,1.242792909,-0.179480408,0.027570949,1.086516358,6134,3,S01
24422975,9,1.308959619,-0.123503246,0.038683941,1.16183304,1357,5,S02
24423897,9,0.923321571,-0.449753768,0.01323694,0.722866403,908,3,S03
24423139,9,0.995680032,-0.388538373,0.207903517,0.805231072,251,2,S04
24422835,9,1.25515755,-0.169019899,0.039947267,1.100590863,1905,4,S08
24423157,9,1.21054929,-0.206758571,0.036251466,1.049813878,2771,4,S10
24423001,9,1.255904559,-0.168387928,0.096304762,1.101441174,728,5,S11
24422871,9,0.855979179,-0.50672556,0.01027966,0.646211458,2196,2,S12
24125883,9,1.157884739,-0.251312881,0.04233094,0.989866523,2851,4,S13
24125945,9,1.161117491,-0.248577968,0.02479009,0.993546321,3410,4,S14
24126041,9,0.733896712,-0.610007559,0.014477327,0.507246617,4282,2,S15
24126011,9,1.055649065,-0.337804457,0.023050428,0.87349302,1345,3,S16
24125999,9,1.089539963,-0.309132693,0.048667648,0.912070577,758,3,S17
24125873,9,1.313975361,-0.119259919,0.091734758,1.167542392,753,5,S18
24126059,9,1.477675745,0.019230918,0.040090516,1.353880352,3623,5,S21
24125769,9,1.621620573,0.141008516,0.070287873,1.517730826,1174,6,S22
24125789,9,1.617160716,0.137235468,0.065554938,1.51265423,920,6,S23
24125857,9,1.391062852,-0.054043755,NA,1.255290053,458,5,S24
24126251,9,1.259145697,-0.165645919,0.037619573,1.105130518,3639,4,S29
23100392,9,1.324163416,-0.462718307,0.002526003,1.179139319,3776,4,S30
23100338,9,1.292823072,-0.489182053,0.003430044,1.143465024,2127,4,S31
23100328,9,1.48957153,-0.323047912,0.002095846,1.367421164,1712,5,S32
23099694,9,2.047129247,0.147753097,0.000155293,2.002081663,5032,7,S33
23100242,9,1.634549724,-0.200628514,0.000183364,1.532447905,6479,5,S34
23099678,9,2.082026668,0.177220434,0.000625838,2.041804931,6925,7,S35
23100020,9,1.59742735,-0.231974598,0.000492421,1.490192003,6928,5,S36
23100428,9,1.091519349,-0.659162654,0.002184005,0.914323686,3112,3,S37
23105314,9,0.772181777,-0.928810883,0.001961461,0.550825995,1286,2,S38
23100434,9,0.950316708,-0.778393979,0.00189139,0.753594607,3821,2,S39
23100408,9,1.006055162,-0.731328502,0.002308118,0.817040944,1703,3,S40
23100176,9,1.330840798,-0.457079935,0.005836007,1.186740093,1436,4,S41
23103496,9,0.883617852,-0.834714407,0.001706608,0.67767219,2750,3,S42
23100162,9,1.357868526,-0.434257757,0.00194968,1.217505395,7162,4,S43
23100192,9,1.270954017,-0.507648254,0.007689439,1.118571771,3000,4,S44
24423421,9,1.188590777,-0.225335516,0.011362785,1.024818795,6922,3,S45
24423347,9,0.97145648,-0.409031544,0.00683685,0.777657726,5596,3,S46
24423359,9,1.097214639,-0.302639902,0.011299436,0.920806559,1603,3,S47
24423325,9,0.931720752,-0.442648045,0.010714854,0.732427079,2559,2,S48
24423655,9,1.055430824,-0.337989089,0.009378762,0.8732446,1969,3,S49
24125037,9,1.902595437,0.025708937,0.001685731,1.837560759,961,6,S50
24422713,9,1.661614434,0.174843398,0.049457245,1.563255303,1465,5,S50P
24423233,9,1.506750311,0.043828055,0.041763726,1.386975541,3660,5,S51
24423623,9,0.755315125,-0.591887541,0.003040647,0.53162691,1207,3,S52
24424869,9,0.932457838,-0.442024469,0.038913631,0.733266093,1039,3,S53
24423243,9,1.47254596,0.01489111,0.022155303,1.348041186,3519,5,S54
24423517,9,1.179494355,-0.233031106,0.004707494,1.014464459,4700,4,S55
24423479,9,1.32454477,-0.462396293,0.001452888,1.179573408,10651,4,S56
23099864,9,1.986708303,0.096733731,0.015675006,1.93330531,626,7,S57
24425515,9,1.74309626,-0.10897196,0.022015788,1.656004977,667,6,S58
24422873,9,0.810143485,-0.545502644,0.006258646,0.5940373,4354,2,S61
24423847,9,0.431576619,-0.865770933,0.003143391,0.163119695,2387,1,S62
