COMID,StreamOrde,site_ID
24422913,3,S01
24422975,5,S02
24423897,3,S03
24423139,2,S04
24422835,4,S08
24423157,4,S10
24423001,5,S11
24422871,2,S12
24125883,4,S13
24125945,4,S14
24126041,2,S15
24126011,3,S16
24125999,3,S17
24125873,5,S18
24126059,5,S21
24125769,6,S22
24125789,6,S23
24125857,5,S24
24126251,4,S29
23100392,4,S30
23100338,4,S31
23100328,5,S32
23099694,7,S33
23100242,5,S34
23099678,7,S35
23100020,5,S36
23100428,3,S37
23105314,2,S38
23100434,2,S39
23100408,3,S40
23100176,4,S41
23103496,3,S42
23100162,4,S43
23100192,4,S44
24423421,3,S45
24423347,3,S46
24423359,3,S47
24423325,2,S48
24423655,3,S49
24125037,6,S50
24422713,5,S50P
24423233,5,S51
24423623,3,S52
24424869,3,S53
24423243,5,S54
24423517,4,S55
24423479,4,S56
23099864,7,S57
24425515,6,S58
24422873,2,S61
24423847,1,S62
23100404,4,S63
23100608,2,S63P
23100200,3,S64
24424705,2,S65
24423741,3,S66
23099678,7,T02
23099844,7,T03
24425579,6,T05
24422823,4,T05P
24422913,3,T06
947030105,7,T07
24425579,6,T41
24425579,6,T42
24125883,4,S13R
24125999,3,S17R
24125873,5,S18R
24125729,3,S19
24125633,4,S19E
24125811,5,S20R
24126061,5,S21R
24125859,5,S24R
24125699,3,S25
947030170,5,S26R
24126823,2,S27R
24131037,4,S28R
24131041,6,S28RE
24126251,4,S29R
23100398,4,S30R
24423233,5,S49R
24125193,6,S67
24126401,3,S68
24126327,4,S71
24126315,4,S72
24125421,6,S73
24131135,4,S75
24423479,4,S77
24125115,6,S79
23099884,4,S82
24126203,3,S83
24126509,4,W10 
24126487,4,W20 
24126441,3,U10 
24126427,3,U20 
24126399,3,U21 
24423347,3,C11 
24423347,3,C10 
24423347,3,C21 
24423347,3,Ct20 
24423347,3,Ct21 
24423347,3,C20 
24423879,1,J21
24125193,6,U23
24126441,3,U22
