site_ID,extra_name,group,perm_stat,perm_lat,perm_lon,gps_lat,gps_lon,NHD_lat,NHD_lon,stream_nam,work_window
C10,,RC3,RC3 permitted,NA,NA,46.649199 ,-121.300698 ,46.649199 ,-121.300698 ,Clear Creek ,NA
C11,,RC3,RC3 permitted,NA,NA,46.654386 ,-121.319166 ,46.654386 ,-121.319166 ,Clear Creek ,NA
C20,,RC3,RC3 permitted,NA,NA,46.648259 ,-121.297089 ,46.648259 ,-121.297089 ,Clear Creek ,NA
C21,,RC3,RC3 permitted,NA,NA,46.640209 ,-121.289883 ,46.640209 ,-121.289883 ,Clear Creek ,NA
Ct20,,RC3,RC3 permitted,NA,NA,46.648153 ,-121.297706 ,46.648153 ,-121.297706 ,Clear Creek ,NA
Ct21,,RC3,RC3 permitted,NA,NA,46.649118 ,-121.299522 ,46.649118 ,-121.299522 ,Clear Creek ,NA
J21,,RC3,RC3 permitted,NA,NA,47.036739,-121.16403,47.036739,-121.16403,Jungle Creek,NA
S01,,RC2,RC2 permitted,46.9762,-121.15851,,,46.9762,-121.15851,American River,Yes 
S02,,RC2,RC2 permitted,46.97551,-121.15857,,,46.97551,-121.15857,Bumping River,Yes 
S03,,RC2,RC2 permitted,47.01967,-121.12811,,,47.01967,-121.12811,Quartz Creek,No 
S04,,RC2,RC2 permitted,46.81098,-121.06963,,,46.81098,-121.06963,North Fork Rattlesnake Creek,Yes 
S08,,RC2,RC2 permitted,47.02177,-121.14341,,,47.02177,-121.14341,Little Naches River,Yes 
S10,,RC2,RC2 permitted,46.80921,-121.06971,,,46.80921,-121.06971,Rattlesnake Creek,Yes 
S11,,RC2,RC2 permitted,46.90086,-121.24984,,,46.90086,-121.24984,Bumping River,Yes 
S12,,RC2,RC2 permitted,47.05638,-121.26788,,,47.05638,-121.26788,South Fork Little Naches River,No 
S13,,RC2,RC2 permitted,47.4202,-121.08534,,,47.4202,-121.08534,Cle Elum River,No 
S13R,,RC2,not permitted,NA,NA,47.420551,-121.086972,47.420551,-121.086972,Cle Elum River,NA
S14,,RC2,RC2 permitted,47.41966,-121.08797,47.41986,-121.087854,47.41974476,-121.0880637,Waptus River,No 
S15,,RC2,RC2 permitted,47.36373,-121.10708,47.363498,-121.106919,47.363498,-121.106919,Thorp Creek,No 
S16,,RC2,RC2 permitted,47.42067,-121.14629,,,47.42067,-121.14629,Cooper River,Yes 
S17,,RC2,RC2 permitted,47.39473,-121.10328,,,47.39473,-121.10328,Cooper River,Yes 
S17R,,RC2,not permitted,NA,NA,47.394429,-121.10174,47.394429,-121.10174,Cooper River,NA
S18,,RC2,RC2 permitted,47.39479,-121.09626,,,47.39479,-121.09626,Cle Elum River,No 
S18R,,RC2,not permitted,NA,NA,47.39603,-121.096933,47.39603,-121.096933,Cle Elum River,NA
S19,,RC2,not permitted,NA,NA,47.258225,-120.904118,47.25798954,-120.9044823,West Fork Teanaway River,NA
S19E,,RC2,not permitted,NA,NA,47.255067,-120.878922,47.255067,-120.878922,North Fork Teanaway River,NA
S20R,,RC2,not permitted,NA,NA,47.19028,-121.01556,47.19028,-121.01556,Cle Elum River,NA
S21,,RC2,RC2 permitted,47.17725,-121.02867,,,47.17725,-121.02867,Yakima River,Yes 
S21R,,RC2,not permitted,NA,NA,47.185797,-121.043826,47.185797,-121.043826,Yakima River,NA
S22,,RC2,RC2 permitted,47.16749,-120.83578,,,47.16749,-120.83578,Yakima River,Yes 
S23,,RC2,RC2 permitted,47.18589,-120.92068,47.185944,-120.918817,47.1848294,-120.9190267,Yakima River,Yes 
S24,,RC2,RC2 permitted,47.35035,-121.10912,,,47.35035,-121.10912,Cle Elum River,Yes 
S24R,,RC2,not permitted,NA,NA,47.354254,-121.108406,47.354254,-121.108406,Cle Elum River,NA
S25,,RC2,not permitted,NA,NA,47.262537,-120.897057,47.262537,-120.897057,Middle Fork Teanaway River,NA
S26R,,RC2,not permitted,NA,NA,47.168488,-120.834427,47.168488,-120.834427,Teanaway River,NA
S27R,,RC2,not permitted,NA,NA,47.260155,-121.176851,47.260155,-121.176851,Silver Creek,NA
S28R,,RC2,not permitted,NA,NA,47.124215,-120.73804,47.124215,-120.73804,Swauk Creek,NA
S28RE,,RC2,not permitted,NA,NA,47.123516,-120.73817,47.12332235,-120.739167,Yakima River,NA
S29,,RC2,RC2 permitted,47.08144,-120.73577,,,47.08144,-120.73577,Taneum Creek,Yes 
S29R,,RC2,not permitted,NA,NA,47.082159,-120.733369,47.082159,-120.733369,Taneum Creek,NA
S30,,RC2,RC2 permitted,46.13516,-120.52004,,,46.13516,-120.52004,Satus Creek,Yes 
S30R,,RC2,not permitted,NA,NA,46.09521496,-120.5482254,46.09521496,-120.5482254,Satus Creek,NA
S31,,RC2,RC2 permitted,46.206,-120.48088,46.205978,-120.480969,46.205978,-120.480969,Logy Creek,Yes 
S32,,RC2,RC2 permitted,46.2356,-120.41916,46.23559571,-120.4191547,46.23559571,-120.4191547,Satus Creek,Yes 
S33,,RC2,RC2 permitted,46.26534,-120.11103,,,46.26534,-120.11103,Yakima River,No 
S34,,RC2,RC2 permitted,46.26426,-120.11472,,,46.26426,-120.11472,Satus Creek,Yes 
S35,,RC2,RC2 permitted,46.23097,-120.00018,,,46.23097,-120.00018,Yakima River,No 
