COMID,D50_m,StreamOrder,site_ID,stream_name,lat,long
24422913,0.027570949,3,S01,American River,46.9762,-121.15851
24422975,0.038683941,5,S02,Bumping River,46.97551,-121.15857
24423897,0.01323694,3,S03,Quartz Creek,47.01967,-121.12811
24423139,0.207903517,2,S04,North Fork Rattlesnake Creek,46.81098,-121.06963
24422835,0.039947267,4,S08,Little Naches River,47.02177,-121.14341
24423157,0.036251466,4,S10,Rattlesnake Creek,46.80921,-121.06971
24423001,0.096304762,5,S11,Bumping River,46.90086,-121.24984
24422871,0.01027966,2,S12,South Fork Little Naches River,47.05638,-121.26788
24125883,0.04233094,4,S13,Cle Elum River,47.4202,-121.08534
24125945,0.02479009,4,S14,Waptus River,47.41974476,-121.0880637
24126041,0.014477327,2,S15,Thorp Creek,47.363498,-121.106919
24126011,0.023050428,3,S16,Cooper River,47.42067,-121.14629
24125999,0.048667648,3,S17,Cooper River,47.39473,-121.10328
24125873,0.091734758,5,S18,Cle Elum River,47.39479,-121.09626
24126059,0.040090516,5,S21,Yakima River,47.17725,-121.02867
24125769,0.070287873,6,S22,Yakima River,47.16749,-120.83578
24125789,0.065554938,6,S23,Yakima River,47.1848294,-120.9190267
24125857,NA,5,S24,Cle Elum River,47.35035,-121.10912
24126251,0.037619573,4,S29,Taneum Creek,47.08144,-120.73577
23100392,0.002526003,4,S30,Satus Creek,46.13516,-120.52004
23100338,0.003430044,4,S31,Logy Creek,46.205978,-120.480969
23100328,0.002095846,5,S32,Satus Creek,46.23559571,-120.41915470000001
23099694,1.55293e-4,7,S33,Yakima River,46.26534,-120.11103
23100242,1.83364e-4,5,S34,Satus Creek,46.26426,-120.11472
23099678,6.25838e-4,7,S35,Yakima River,46.23097,-120.00018
23100020,4.92421e-4,5,S36,Toppenish Creek,46.314573,-120.199171
23100428,0.002184005,3,S37,Satus Creek,46.028244,-120.611858
23105314,0.001961461,2,S38,Unnamed Tributary,46.029003,-120.636526
23100434,0.00189139,2,S39,Satus Creek,46.016704,-120.649701
23100408,0.002308118,3,S40,Kusshi Creek,46.03855,-120.5894
23100176,0.005836007,4,S41,Toppenish Creek,46.31513,-120.78388
23103496,0.001706608,3,S42,Unnamed Tributary,46.28982,-120.87329
23100162,0.00194968,4,S43,Toppenish Creek,46.36562,-120.66955
23100192,0.007689439,4,S44,Toppenish Creek,46.25312,-120.89433
24423421,0.011362785,3,S45,South Fork Tieton River,46.6172,-121.15444
24423347,0.00683685,3,S46,Clear Creek,46.64157,-121.28898
24423359,0.011299436,3,S47,North Fork Tieton River,46.61823,-121.31549
24423325,0.010714854,2,S48,Indian Creek,46.64743,-121.25489
24423655,0.009378762,3,S49,Oak Creek,46.72596,-120.82527
24125037,0.001685731,6,S50,Yakima River,46.631447,-120.521815
24422713,0.049457245,5,S50P,Naches River,46.75228,-120.81806
24423233,0.041763726,5,S51,Tieton River,46.729878,-120.803616
24423623,0.003040647,3,S52,Milk Creek,46.65924,-121.0889
24424869,0.038913631,3,S53,Wildcat Creek,46.66926,-121.12833
24423243,0.022155303,5,S54,Tieton River,46.68721,-120.93145
24423517,0.004707494,4,S55,South Fork Cowiche Creek,46.663547,-120.805047
24423479,0.001452888,4,S56,Cowiche Creek,46.620687,-120.626954
23099864,0.015675006,7,S57,Yakima River,46.58648,-120.46084
24425515,0.022015788,6,S58,Naches River,46.68258,-120.65179
24422873,0.006258646,2,S61,South Fork Little Naches River,47.06101,-121.28535
24423847,0.003143391,1,S62,Alder Creek,47.05879,-121.28862
23100404,0.004070786,4,S63,Satus Creek,46.041823,-120.573226
23100608,0.001509103,2,S63P,Bull Creek,46.04551,-120.5679
23100200,0.009911171,3,S64,North Fork Toppenish Creek,46.25372,-120.95778
24424705,0.001690832,2,S65,Indian Creek,46.73657,-120.90747
24423741,0.019373817,3,S66,Short and Dirty Creek,46.61611,-121.14966
23099678,6.25838e-4,7,T02,Yakima River,46.232095,-119.999901
23099844,0.002033648,7,T03,Yakima River,46.530817,-120.470337
24425579,0.028242725,6,T05,Naches River,46.728776,-120.713733
24422823,0.036236647,4,T05P,Little Naches River,46.98904,-121.09921
24422913,0.027570949,3,T06,American River,46.97777,-121.16953
23107212,1.18944e-4,2,T07,Yakima River,46.255319,-119.47405
24425579,0.028242725,6,T41,Naches River,46.72411,-120.70039
24425579,0.028242725,6,T42,Naches River,46.72895,-120.71431
24125883,0.04233094,4,S13R,Cle Elum River,47.420551,-121.086972
24125999,0.048667648,3,S17R,Cooper River,47.394429,-121.10174
24125873,0.091734758,5,S18R,Cle Elum River,47.39603,-121.096933
24125729,0.008821905,3,S19,West Fork Teanaway River,47.25798954,-120.9044823
24125633,0.022451034,4,S19E,North Fork Teanaway River,47.255067,-120.878922
24125811,0.049718053,5,S20R,Cle Elum River,47.19028,-121.01556
24126061,0.013965597,5,S21R,Yakima River,47.185797,-121.043826
24125859,0.117687796,5,S24R,Cle Elum River,47.354254,-121.108406
24125699,0.008220337,3,S25,Middle Fork Teanaway River,47.262537,-120.897057
24125769,0.070287873,6,S26R,Teanaway River,47.168488,-120.834427
24126823,0.008017718,2,S27R,Silver Creek,47.260155,-121.176851
24131037,4.82e-6,4,S28R,Swauk Creek,47.124215,-120.73804
24131041,9.69e-5,6,S28RE,Yakima River,47.12332235,-120.739167
24126251,0.037619573,4,S29R,Taneum Creek,47.082159,-120.733369
23100398,0.003432752,4,S30R,Satus Creek,46.09521496,-120.5482254
24423233,0.041763726,5,S49R,Tieton River,46.72410553,-120.8126594
24125193,0.005888307,6,S67,Yakima River,46.85542836,-120.4841988
24126401,0.009857876,3,S68,Umtanum Creek,46.85502336,-120.4850592
24126327,0.036410165,4,S71,Manastash Creek,46.968185,-120.691204
24126315,0.033778149,4,S72,Manastash Creek,46.99491,-120.590443
24125421,0.009357573,6,S73,Yakima River,46.98778012,-120.5710861
24131135,0.00332543,4,S75,Wilson Creek,47.017577,-120.51748
24423479,0.001452888,4,S77,Cowiche Creek,46.625578,-120.583712
24125115,0.008931206,6,S79,Yakima River,46.763844,-120.456432
23099884,8.62334e-4,4,S82,Ahtanum Creek,46.53837,-120.480372
24126203,0.024256406,3,S83,Cabin Creek,47.239586,-121.227415
24126509,0.010762591,4,W10,Wenas Creek,46.867459,-120.774414
24126487,0.034287287,4,W20,Wenas Creek,46.832848,-120.710887
24126441,4.46e-5,3,U10,Umtanum Creek ,46.907959,-120.690234
24126427,0.002724906,3,U20,Umtanum Creek ,46.898674,-120.642121
24126399,1e-6,3,U21,Umtanum Creek  ,46.85504023,-120.4846022
