Photo_name,x1 (pixel),y1 (pixel),x2 (pixel),y2 (pixel),real size (m),dist (pixel),Scale (m/pixel),Scale (mm/pixel),d50_width (m),d50_height (m),d50_long axis (m)
,1171,2552,1673,2591,0.11,503.5126612,0.000218,0.218,0.077608307,0.07444707,0.110225786
SPS_S18R_20210831_69_label,2363,1371,3015,1395,0.3036,652.4415683,0.000465,0.465,0.02577395,0.02476151,0.037409399
SPS_S14_20210830_1,87,1815,825,1875,0.3036,740.4350073,0.00041,0.41,0.057809961,0.057399957,0.089977033
SPS_S15_20210901_18,2285,1129,2833,1277,0.3036,567.6336847,0.000535,0.535,0.035845068,0.035012801,0.050926328
SPS_S17R_20210831_34,385,21,2293,21,0.8,1908,0.000419,0.419,0.021369,0.023296378,0.032845397
SPS_S18R_20210831_69,2365,1373,3013,1397,0.3036,648.4442921,0.000468,0.468,0.040013996,0.042822,0.060904771
SPS_S19_20210830_1,453,2065,1249,2021,0.3036,797.2151529,0.000381,0.381,0.027105477,0.031749974,0.042344204
SPS_S19E_20210830_5,173,2041,2413,2009,0.8,2240.22856,0.000357,0.357,0.017974153,0.017135962,0.025872045
SPS_S20R_20210902_18,377,1721,2329,1709,0.8,1952.036885,0.00041,0.41,0.027879955,0.028700035,0.040887029
SPS_S21R_20210902_1,1301,1843,3095,1833,0.8,1794.02787,0.000446,0.446,0.024576966,0.023303463,0.034446092
SPS_S23_20210831_34,1017,1761,2805,1777,0.8,1788.071587,0.000447,0.447,0.023889619,0.022722471,0.033974888
SPS_S24R_20210901_1,1033,1785,2949,1753,0.8,1916.267205,0.000417,0.417,0.036278984,0.033359995,0.05029651
SPS_S25_20210830_18,565,2113,2537,2053,0.8,1972.912568,0.000405,0.405,0.020597138,0.019729245,0.030071016
SPS_S26R_20210831_1,401,2117,2617,2105,0.8,2216.032491,0.000361,0.361,0.039168475,0.034475511,0.054000618
SPS_S27R_20210903_1,549,1817,2585,1909,0.8,2038.077526,0.000393,0.393,0.022139017,0.022335484,0.032161243
SPS_S28R_20210901_1,861,2349,2585,2281,0.8,1725.340546,0.000464,0.464,0.027582237,0.030508017,0.042124442
SPS_S28RE_20210901_1,525,2157,2809,2093,0.8,2284.896497,0.00035,0.35,0.01946003,0.018024973,0.027264055
SPS_S29R_20210831_1,853,301,2785,213,0.8,1934.003102,0.000414,0.414,0.024922844,0.026289008,0.03807454
SPS_S30R_20210831_1,629,2129,2609,2073,0.8,1980.791761,0.000404,0.404,0.037087226,0.033430971,0.052563514
SPS_S32_20210902_20,589,2373,2693,2361,0.8,2104.03422,0.00038,0.38,0.027359971,0.026093356,0.039006962
SPS_S37_20210830_18,689,93,2745,85,0.8,2056.015564,0.000389,0.389,0.027230027,0.026763224,0.038518899
SPS_S38_20210901_35,1089,2193,2881,2105,0.8,1794.159413,0.000446,0.446,0.027084355,0.02475298,0.037532916
SPS_S49R_20210831_2,1017,2081,2733,1925,0.8,1723.076319,0.000464,0.464,0.032758458,0.035449656,0.049112812
SPS_S51_20210831_1,29,2489,2113,2437,0.8,2084.648651,0.000384,0.384,0.030151102,0.017435084,0.035973239
SPS_S55_20210903_1,869,2613,2881,2069,0.8,2084.245667,0.000384,0.384,0.025014842,0.027520032,0.038522684
SPS_S56_20210902_1,417,2313,2581,2305,0.8,2164.014787,0.00037,0.37,0.018676939,0.018129964,0.026168158
SPS_S71_20210902_4,317,2157,2761,2129,0.8,2444.160388,0.000327,0.327,0.029429969,0.032046016,0.046779264
SPS_S72_20210903_1,657,2197,2653,2005,0.8,2005.213206,0.000399,0.399,0.031122054,0.03411448,0.046428233
SPS_S75_20210903_1,417,2117,2649,1997,0.8,2235.223479,0.000358,0.358,0.020405959,0.01942148,0.029154516
SPS_S77_20210902_1,885,1993,2861,2057,0.8,1977.036166,0.000405,0.405,0.034121267,0.039892522,0.054510695
SPS_S82_20210903_1,997,1821,2617,1997,0.8,1629.532448,0.000491,0.491,0.02635029,0.023752075,0.037451413
SPS_S83_20210903_73,489,1621,2337,1781,0.8,1854.913475,0.000431,0.431,0.038789959,0.037281521,0.054635145
SPS_T02_20210907_13,957,1697,2697,1641,0.8,1740.900916,0.00046,0.46,0.025817542,0.023344977,0.036210248
SPS_T03_20210908_23,1001,1861,2861,1797,0.8,1861.10075,0.00043,0.43,0.027090041,0.024294981,0.037548103
SPS_T07_20210907_1,897,1781,2713,1749,0.8,1816.281916,0.00044,0.44,0.023836503,0.015564978,0.029351667
SPS_U20_20210915_2,913,1777,2525,1777,0.8,1612,0.000496,0.496,0.02665996,0.02603996,0.037936691
SPS_W20_20210914_1,661,1829,2001,1841,0.8,1340.05373,0.000597,0.597,0.037014004,0.043939156,0.058946017
