OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,MonitoringLocationIdentifier,ResultIdentifier,DataLoggerLine,ResultDetectionConditionText,MethodSpecificationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultParticleSizeBasisText,USGSPCode
USGS-WA,USGS Washington Water Science Center,nwiswa.01.99400959,7/15/94,10:00:00,PDT,USGS-12464606,NWIS-70282377,,,,Sediment,Bed Sediment,24,%,,Historical,,Actual,< 0.0625 mm,80164
USGS-WA,USGS Washington Water Science Center,nwiswa.01.99400959,7/15/94,10:00:00,PDT,USGS-12464606,NWIS-70282378,,,,Sediment,Bed Sediment,66,%,,Historical,,Actual,< 0.125 mm,80165
USGS-WA,USGS Washington Water Science Center,nwiswa.01.99400959,7/15/94,10:00:00,PDT,USGS-12464606,NWIS-70282379,,,,Sediment,Bed Sediment,93,%,,Historical,,Actual,< 0.25 mm,80166
USGS-WA,USGS Washington Water Science Center,nwiswa.01.99400959,7/15/94,10:00:00,PDT,USGS-12464606,NWIS-70282380,,,,Sediment,Bed Sediment,100,%,,Historical,,Actual,< 0.5 mm,80167
USGS-WA,USGS Washington Water Science Center,nwiswa.01.99400959,7/15/94,10:00:00,PDT,USGS-12464606,NWIS-70282381,,,,Sediment,Bed Sediment,100,%,,Historical,,Actual,< 1 mm,80168
USGS-WA,USGS Washington Water Science Center,nwiswa.01.99400959,7/15/94,10:00:00,PDT,USGS-12464606,NWIS-70282382,,,,Sediment,Bed Sediment,100,%,,Historical,,Actual,< 2 mm,80169
USGS-WA,USGS Washington Water Science Center,nwiswa.01.99400964,7/13/94,11:00:00,PDT,USGS-12471090,NWIS-70282962,,,,Sediment,Bed Sediment,2,%,,Historical,,Actual,< 0.0625 mm,80164
USGS-WA,USGS Washington Water Science Center,nwiswa.01.99400964,7/13/94,11:00:00,PDT,USGS-12471090,NWIS-70282963,,,,Sediment,Bed Sediment,17,%,,Historical,,Actual,< 0.125 mm,80165
USGS-WA,USGS Washington Water Science Center,nwiswa.01.99400964,7/13/94,11:00:00,PDT,USGS-12471090,NWIS-70282964,,,,Sediment,Bed Sediment,66,%,,Historical,,Actual,< 0.25 mm,80166
USGS-WA,USGS Washington Water Science Center,nwiswa.01.99400964,7/13/94,11:00:00,PDT,USGS-12471090,NWIS-70282965,,,,Sediment,Bed Sediment,95,%,,Historical,,Actual,< 0.5 mm,80167
USGS-WA,USGS Washington Water Science Center,nwiswa.01.99400964,7/13/94,11:00:00,PDT,USGS-12471090,NWIS-70282966,,,,Sediment,Bed Sediment,100,%,,Historical,,Actual,< 1 mm,80168
USGS-WA,USGS Washington Water Science Center,nwiswa.01.99400964,7/13/94,11:00:00,PDT,USGS-12471090,NWIS-70282967,,,,Sediment,Bed Sediment,100,%,,Historical,,Actual,< 2 mm,80169
USGS-WA,USGS Washington Water Science Center,nwiswa.01.99400969,7/13/94,15:30:00,PDT,USGS-12472000,NWIS-70283320,,,,Sediment,Bed Sediment,4,%,,Historical,,Actual,< 0.0625 mm,80164
USGS-WA,USGS Washington Water Science Center,nwiswa.01.99400969,7/13/94,15:30:00,PDT,USGS-12472000,NWIS-70283321,,,,Sediment,Bed Sediment,24,%,,Historical,,Actual,< 0.125 mm,80165
USGS-WA,USGS Washington Water Science Center,nwiswa.01.99400969,7/13/94,15:30:00,PDT,USGS-12472000,NWIS-70283322,,,,Sediment,Bed Sediment,74,%,,Historical,,Actual,< 0.25 mm,80166
USGS-WA,USGS Washington Water Science Center,nwiswa.01.99400969,7/13/94,15:30:00,PDT,USGS-12472000,NWIS-70283323,,,,Sediment,Bed Sediment,96,%,,Historical,,Actual,< 0.5 mm,80167
USGS-WA,USGS Washington Water Science Center,nwiswa.01.99400969,7/13/94,15:30:00,PDT,USGS-12472000,NWIS-70283324,,,,Sediment,Bed Sediment,99,%,,Historical,,Actual,< 1 mm,80168
USGS-WA,USGS Washington Water Science Center,nwiswa.01.99400969,7/13/94,15:30:00,PDT,USGS-12472000,NWIS-70283325,,,,Sediment,Bed Sediment,100,%,,Historical,,Actual,< 2 mm,80169
USGS-WA,USGS Washington Water Science Center,nwiswa.01.99300444,7/27/93,13:15:00,PDT,USGS-12500450,NWIS-70192164,,,,Sediment,Bed Sediment,20,%,,Accepted,,Actual,< 0.0625 mm,80158
USGS-WA,USGS Washington Water Science Center,nwiswa.01.99201313,8/29/92,15:00:00,PDT,USGS-12463500,NWIS-70163760,,,,Sediment,Bed Sediment,99,%,,Historical,,Actual,< 2 mm,80169
USGS-WA,USGS Washington Water Science Center,nwiswa.01.99201313,8/29/92,15:00:00,PDT,USGS-12463500,NWIS-70163755,,,,Sediment,Bed Sediment,41,%,,Historical,,Actual,< 0.0625 mm,80164
USGS-WA,USGS Washington Water Science Center,nwiswa.01.99201313,8/29/92,15:00:00,PDT,USGS-12463500,NWIS-70163756,,,,Sediment,Bed Sediment,56,%,,Historical,,Actual,< 0.125 mm,80165
USGS-WA,USGS Washington Water Science Center,nwiswa.01.99201313,8/29/92,15:00:00,PDT,USGS-12463500,NWIS-70163757,,,,Sediment,Bed Sediment,67,%,,Historical,,Actual,< 0.25 mm,80166
USGS-WA,USGS Washington Water Science Center,nwiswa.01.99201313,8/29/92,15:00:00,PDT,USGS-12463500,NWIS-70163758,,,,Sediment,Bed Sediment,82,%,,Historical,,Actual,< 0.5 mm,80167
USGS-WA,USGS Washington Water Science Center,nwiswa.01.99201313,8/29/92,15:00:00,PDT,USGS-12463500,NWIS-70163759,,,,Sediment,Bed Sediment,94,%,,Historical,,Actual,< 1 mm,80168
USGS-WA,USGS Washington Water Science Center,nwiswa.01.99201327,9/3/92,10:00:00,PDT,USGS-12472600,NWIS-70166058,,,,Sediment,Bed Sediment,27,%,,Historical,,Actual,< 0.0625 mm,80164
USGS-WA,USGS Washington Water Science Center,nwiswa.01.99201327,9/3/92,10:00:00,PDT,USGS-12472600,NWIS-70166059,,,,Sediment,Bed Sediment,62,%,,Historical,,Actual,< 0.125 mm,80165
USGS-WA,USGS Washington Water Science Center,nwiswa.01.99201327,9/3/92,10:00:00,PDT,USGS-12472600,NWIS-70166060,,,,Sediment,Bed Sediment,89,%,,Historical,,Actual,< 0.25 mm,80166
USGS-WA,USGS Washington Water Science Center,nwiswa.01.99201327,9/3/92,10:00:00,PDT,USGS-12472600,NWIS-70166061,,,,Sediment,Bed Sediment,96,%,,Historical,,Actual,< 0.5 mm,80167
USGS-WA,USGS Washington Water Science Center,nwiswa.01.99201327,9/3/92,10:00:00,PDT,USGS-12472600,NWIS-70166062,,,,Sediment,Bed Sediment,99,%,,Historical,,Actual,< 1 mm,80168
USGS-WA,USGS Washington Water Science Center,nwiswa.01.99201327,9/3/92,10:00:00,PDT,USGS-12472600,NWIS-70166063,,,,Sediment,Bed Sediment,100,%,,Historical,,Actual,< 2 mm,80169
USGS-WA,USGS Washington Water Science Center,nwiswa.01.99201324,8/28/92,14:00:00,PDT,USGS-471313119422400,NWIS-70165575,,,,Sediment,Bed Sediment,76,%,,Historical,,Actual,< 0.0625 mm,80164
USGS-WA,USGS Washington Water Science Center,nwiswa.01.99201324,8/28/92,14:00:00,PDT,USGS-471313119422400,NWIS-70165576,,,,Sediment,Bed Sediment,85,%,,Historical,,Actual,< 0.125 mm,80165
USGS-WA,USGS Washington Water Science Center,nwiswa.01.99201324,8/28/92,14:00:00,PDT,USGS-471313119422400,NWIS-70165577,,,,Sediment,Bed Sediment,91,%,,Historical,,Actual,< 0.25 mm,80166
USGS-WA,USGS Washington Water Science Center,nwiswa.01.99201324,8/28/92,14:00:00,PDT,USGS-471313119422400,NWIS-70165578,,,,Sediment,Bed Sediment,96,%,,Historical,,Actual,< 0.5 mm,80167
USGS-WA,USGS Washington Water Science Center,nwiswa.01.99201324,8/28/92,14:00:00,PDT,USGS-471313119422400,NWIS-70165579,,,,Sediment,Bed Sediment,98,%,,Historical,,Actual,< 1 mm,80168
USGS-WA,USGS Washington Water Science Center,nwiswa.01.99201324,8/28/92,14:00:00,PDT,USGS-471313119422400,NWIS-70165580,,,,Sediment,Bed Sediment,100,%,,Historical,,Actual,< 2 mm,80169
USGS-WA,USGS Washington Water Science Center,nwiswa.01.99201317,9/2/92,10:00:00,PDT,USGS-12472950,NWIS-70164414,,,,Sediment,Bed Sediment,100,%,,Historical,,Actual,< 2 mm,80169
USGS-WA,USGS Washington Water Science Center,nwiswa.01.99201317,9/2/92,10:00:00,PDT,USGS-12472950,NWIS-70164409,,,,Sediment,Bed Sediment,12,%,,Historical,,Actual,< 0.0625 mm,80164
USGS-WA,USGS Washington Water Science Center,nwiswa.01.99201317,9/2/92,10:00:00,PDT,USGS-12472950,NWIS-70164410,,,,Sediment,Bed Sediment,40,%,,Historical,,Actual,< 0.125 mm,80165
USGS-WA,USGS Washington Water Science Center,nwiswa.01.99201317,9/2/92,10:00:00,PDT,USGS-12472950,NWIS-70164411,,,,Sediment,Bed Sediment,86,%,,Historical,,Actual,< 0.25 mm,80166
USGS-WA,USGS Washington Water Science Center,nwiswa.01.99201317,9/2/92,10:00:00,PDT,USGS-12472950,NWIS-70164412,,,,Sediment,Bed Sediment,98,%,,Historical,,Actual,< 0.5 mm,80167
USGS-WA,USGS Washington Water Science Center,nwiswa.01.99201317,9/2/92,10:00:00,PDT,USGS-12472950,NWIS-70164413,,,,Sediment,Bed Sediment,100,%,,Historical,,Actual,< 1 mm,80168
