name,id,label,photo width (pixel),photo height (pixel),resolution (m/pixel),width (m),heigth (m),long axis (m)
SPS_S15_20210901_18_label,1,0,2024,1680,0.000395256916996047,0.01021752,0.00889304347826086,0.0139857587781705
SPS_S18R_20210831_69_label,2,0,2090,1862,0.000382775119617225,0.0112373714285714,0.0114540206993007,0.0167768303419505
SPS_S20R_20210902_18_label,3,0,2068,1772,0.000386847195357834,0.0109424,0.0106381694390716,0.0162017022681667
SPS_S30R_20210831_1_label,4,0,2092,2020,0.000382409177820268,0.0246018666666667,0.0229923699808795,0.0343786380363615
label,5,0,4032,3024,0.000218,0.07586441856,0.070195682592,0.101781282862599
SPS_S14_20210830_1,6,1,2218,2020,0.00036068530207394,0.0245266,0.0277727596032462,0.0370243126560162
SPS_S15_20210901_18,7,1,2024,1680,0.000395256916996047,0.01620552,0.015316204743083,0.0239546253882238
SPS_S17R_20210831_34,8,1,2028,1812,0.000394477317554241,0.0120753911111111,0.0113192915844839,0.0172377504651703
SPS_S18R_20210831_69,9,1,2074,1846,0.00038572806171649,0.0181934933333333,0.0165863010993249,0.0261300571174752
SPS_S18R_20210831_69_label,10,1,2090,1862,0.000382775119617225,0.01779906,0.0159617197090909,0.0258391866753064
SPS_S19E_20210830_5,11,1,2340,2116,0.000341880341880342,0.00958842092307692,0.00927558932436598,0.013798612704127
SPS_S19_20210830_1,12,1,2216,1904,0.00036101083032491,0.0144885386666667,0.014039315459286,0.0209572875355252
SPS_S20R_20210902_18,13,1,2068,1772,0.000386847195357834,0.01474852,0.0143520552263056,0.0223802971490424
SPS_S21R_20210902_1,14,1,1878,1732,0.000425985090521832,0.0123987733333333,0.0110400827973021,0.0171825694491021
SPS_S23_20210831_34,15,1,1872,1832,0.000427350427350427,0.00986227911111111,0.00970886847222222,0.0144937080664457
SPS_S24R_20210901_1,16,1,1996,1720,0.000400801603206413,0.01843688,0.017635273747495,0.0275825931140419
SPS_S25_20210830_18,17,1,2060,2050,0.000388349514563107,0.0103900631578947,0.00962154075688528,0.0148387802308032
SPS_S26R_20210831_1,18,1,2314,2096,0.000345721694036301,0.0175357955555556,0.0141993065810594,0.0239959168235625
SPS_S27R_20210903_1,19,1,2144,1836,0.000373134328358209,0.0137243625,0.0124713092996556,0.0190919227769957
SPS_S28RE_20210901_1,20,1,2406,2216,0.000332502078137988,0.0216126,0.0162926288279302,0.0260197995262772
SPS_S28R_20210901_1,21,1,2108,1950,0.000379506641366224,0.012324474,0.0116592650221379,0.0176693287174626
SPS_S29R_20210831_1,22,1,2144,2142,0.000373134328358209,0.00963932,0.00854475770149254,0.0128528304373897
SPS_S30R_20210831_1,23,1,2092,2020,0.000382409177820268,0.02511152,0.0244742118546845,0.0374136166740844
SPS_S32_20210902_20,24,1,2372,2286,0.000337268128161889,0.01703206,0.0153456905564924,0.0238603926192962
SPS_S37_20210830_18,25,1,2212,2186,0.000361663652802893,0.01597348,0.0144665764195298,0.0225568796897399
SPS_S38_20210901_35,26,1,2046,2048,0.000391006842619746,0.01837736,0.0178559708048224,0.0262761132856885
SPS_S49R_20210831_2,27,1,1996,2086,0.000400801603206413,0.02414828,0.025517688243153,0.0378012318362795
SPS_S51_20210831_1,28,1,2172,2232,0.000368324125230203,0.011746115,0.0103314881767956,0.0162386762672982
SPS_S55_20210903_1,29,1,2106,1916,0.000379867046533713,0.017397936,0.0181070066729978,0.0267638058086915
SPS_S56_20210902_1,30,1,2346,2370,0.000341005967604433,0.01383918,0.0134697222506394,0.0202187876714764
SPS_S71_20210902_4,31,1,2574,2256,0.000310800310800311,0.025641,0.0262626096037296,0.0389741397559392
SPS_S72_20210903_1,32,1,2232,2240,0.0003584229390681,0.02129032,0.021326164874552,0.0309242411182245
SPS_S75_20210903_1,33,1,2342,2114,0.000341588385994876,0.0150071466666667,0.0146883102988898,0.0222268905175716
SPS_S77_20210902_1,34,1,2082,2042,0.000384245917387128,0.03573488,0.0341978702785783,0.0507728388780207
SPS_S82_20210903_1,35,1,1716,1690,0.000466200466200466,0.01177158,0.0111370255892256,0.0168414201800638
SPS_S83_20210903_73,36,1,1952,1676,0.00040983606557377,0.01997954,0.0160655727540984,0.0269402657180388
SPS_T02_20210907_13,37,1,1840,1520,0.000434782608695652,0.02652176,0.0217391060869565,0.0320973996438332
SPS_T03_20210908_23,38,1,1964,1802,0.000407331975560081,0.012189374,0.0109343460743381,0.016996019440415
SPS_T07_20210907_1,39,1,1900,1668,0.000421052631578947,0.00923595612903226,0.00744361429172932,0.0121450303402096
SPS_U20_20210915_2,40,1,1716,1652,0.000466200466200466,0.01130536,0.0100233270862471,0.0154088892988066
SPS_W20_20210914_1,41,1,1862,1692,0.000429645542427497,0.0207010836363636,0.0219118906981741,0.0318053936612785
