name,id,label,photo width (pixel),photo height (pixel),resolution (m/pixel),width (m),heigth (m),long axis (m)
SPS_S15_20210901_18_label,1,0,2024,1680,0.000535,0.013829924196,0.012037179,0.0189304237941927
SPS_S18R_20210831_69_label,2,0,2090,1862,0.000468,0.0137393721771428,0.014004258408,0.0205121916175858
SPS_S20R_20210902_18_label,3,0,2068,1772,0.00041,0.01159730264,0.01127486388,0.0171713741489165
SPS_S30R_20210831_1_label,4,0,2092,2020,0.000404,0.0259908880586667,0.02429051919,0.0363196559398945
label,5,0,4032,3024,0.000218,0.07586441856,0.070195682592,0.101781282862599
SPS_S14_20210830_1,6,1,2218,2020,0.00041,0.027879999385,0.03156999016,0.0420864618039101
SPS_S15_20210901_18,7,1,2024,1680,0.000535,0.021934981596,0.02073124893,0.0324237831942304
SPS_S17R_20210831_34,8,1,2028,1812,0.000419,0.0128260577995333,0.0120229553458333,0.0183093352228376
SPS_S18R_20210831_69,9,1,2074,1846,0.000468,0.0220739835264,0.0201239932607999,0.0317033370000615
SPS_S18R_20210831_69_label,10,1,2090,1862,0.000468,0.021762020709,0.01951559660232,0.0315922815885634
SPS_S19E_20210830_5,11,1,2340,2116,0.000357,0.0100124688384,0.00968580226223607,0.014408856350967
SPS_S19_20210830_1,12,1,2216,1904,0.000381,0.01529076905264,0.0148166723562667,0.0221176925463672
SPS_S20R_20210902_18,13,1,2068,1772,0.00041,0.015631218922,0.0152110257316,0.0237197579334125
SPS_S21R_20210902_1,14,1,1878,1732,0.000446,0.0129813296984,0.0115588010875333,0.0179898924746682
SPS_S23_20210831_34,15,1,1872,1832,0.000447,0.01031574670464,0.010155282244575,0.0151601287633409
SPS_S24R_20210901_1,16,1,1996,1720,0.000417,0.0191820065052,0.018348003336,0.0286973436147459
SPS_S25_20210830_18,17,1,2060,2050,0.000405,0.0108355371157895,0.0100340643168367,0.0154749929331989
SPS_S26R_20210831_1,18,1,2314,2096,0.000361,0.0183107462006445,0.0148268094371429,0.0250563563777878
SPS_S27R_20210903_1,19,1,2144,1836,0.000393,0.0144550475595,0.0131352818067692,0.020108376745643
SPS_S28RE_20210901_1,20,1,2406,2216,0.00035,0.022749963075,0.01715002842,0.0273890914763475
SPS_S28R_20210901_1,21,1,2108,1950,0.000464,0.01506839489136,0.0142550837866667,0.0216032280631185
SPS_S29R_20210831_1,22,1,2144,2142,0.000414,0.0106950183264,0.00948057956496,0.0142604724268926
SPS_S30R_20210831_1,23,1,2092,2020,0.000404,0.0265293164192,0.025856025856,0.0395259894715033
SPS_S32_20210902_20,24,1,2372,2286,0.00038,0.019190022002,0.01728998955,0.026883504364161
SPS_S37_20210830_18,25,1,2212,2186,0.000389,0.0171808354858,0.0155600325982,0.0242618414410888
SPS_S38_20210901_35,26,1,2046,2048,0.000446,0.0209620437972,0.0203673238186667,0.0299717172387541
SPS_S49R_20210831_2,27,1,1996,2086,0.000464,0.0279559807904,0.0295413173253333,0.0437617300722241
SPS_S51_20210831_1,28,1,2172,2232,0.000384,0.0122460296544,0.0107711963136,0.0169297943292344
SPS_S55_20210903_1,29,1,2106,1916,0.000384,0.01758722554368,0.0183040109056,0.0270549960158901
SPS_S56_20210902_1,30,1,2346,2370,0.00037,0.0150158562795,0.014614985385,0.0219378900932437
SPS_S71_20210902_4,31,1,2574,2256,0.000327,0.0269774730225,0.0276314824728,0.0410055693553682
SPS_S72_20210903_1,32,1,2232,2240,0.000399,0.0237005971272,0.0237405,0.0344251744552187
SPS_S75_20210903_1,33,1,2342,2114,0.000358,0.0157281650282667,0.0153940101672,0.0232947814724883
SPS_S77_20210902_1,34,1,2082,2042,0.000405,0.037665010206,0.036044982747,0.0535152068379198
SPS_S82_20210903_1,35,1,1716,1690,0.000491,0.0123977691981,0.0117294596654444,0.0177372995265423
SPS_S83_20210903_73,36,1,1952,1676,0.000431,0.0210112834456,0.01689519893112,0.0283314610397184
SPS_T02_20210907_13,37,1,1840,1520,0.00046,0.02806002208,0.02299997424,0.0339590488231755
SPS_T03_20210908_23,38,1,1964,1802,0.00043,0.0128677126631,0.011542842433375,0.0179418479222741
SPS_T07_20210907_1,39,1,1900,1668,0.00044,0.00965157415483871,0.00777857693485714,0.0126915567055191
SPS_U20_20210915_2,40,1,1716,1652,0.000496,0.0120279986112,0.0106640181536,0.0163938255027864
SPS_W20_20210914_1,41,1,1862,1692,0.000597,0.0287645179816909,0.0304469555832001,0.0441941510867355
