Name,Type,Model_ID,Folder,Label,Width_pixel,Height_pixel,L1_res_meter_per_pixel,L2_res_meter_per_pixel,L1L2_res_meter_per_pixel,L1L2_res_millimeter_per_pixel,Scale_x_meter,Scale_y_meter,Relative_error_percent,Valid,Corrected,Usage,Latitude,Longitude,Latitude_SFA,Longitude_SFA,Altitude_meter,Altitude_reference,Height_m,Date_PST,Height_manual_m,Height_sonar_m,Height_above_drone_m,Height_above_takeoff_m,Height_velocity_integrate_m,Resolution_manual_meter_per_pixel,Resolution_sonar_meter_per_pixel,Resolution_above_drone_meter_per_pixel,Resolution_above_takeoff_meter_per_pixel,Resolution_velocity_integrate_meter_per_pixel,Date_Second,D50_x_count_meter,D50_y_count_meter,D50_count_meter,D5_count_meter,D10_count_meter,D60_count_meter,D84_count_meter,D50_x_area_meter,D50_y_area_meter,D50_area_meter,D5_area_meter,D10_area_meter,D60_area_meter,D84_area_meter,Mean_size_count_meter,Mean_size_area_meter,Grain_number_threshold,Accuracy_threshold_percent,Grain_number,Accuracy_percent,Maximum_size_meter,Minimum_size_meter,Area_ratio_percent,Area_ratio_below_2mm_percent,Threshold_percent,Area_m2,Make,Model,Author,Keyword,Site_ID,Notes
SPS_S15_20210901_1.jpg,Predict,3b,20210901_RC2_maybe,3,1538,1228,0.000725751,0.000736054,0.000730903,0.730903,1.124128814,0.897548884,-0.704837497,1,1,3,47.363608,-121.107234,47.363498,-121.106919,-9999,0,-9999,9/1/21 10:51,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0.034352252,0.032160074,0.052406377,0.011767674,0.014040261,0.073907658,0.120528774,0.15085764,0.18079411,0.200690536,0.056614267,0.086885021,0.320763604,0.488374386,0.075958411,0.317929386,90,68.46788111,103,63.61569806,0.775537539,0.00511591,0,0,35,1.008960562,samsung,SM-T500,YC,SPS,S15,N/A
SPS_S15_20210901_88.jpg,Predict,3b,20210901_RC2_maybe,3,2030,1788,0.000507237,0.000532623,0.00051993,0.51993,1.0554579,0.92963484,-2.44126174,1,1,3,47.363608,-121.107234,47.363498,-121.106919,-9999,0,-9999,9/1/21 11:18,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0.052513252,0.05129942,0.085282429,0.011227823,0.017662216,0.111911448,0.153589824,0.110429872,0.119810912,0.159490036,0.071883977,0.095438938,0.173433412,0.26029871,0.092829833,0.177811673,90,70.97873667,97,68.02211237,0.312720418,0.004159186,0,0,35,0.981190436,samsung,SM-T500,YC,SPS,S15,N/A
SPS_S17R_20210831_1.jpg,Predict,3b,20210901_RC2_maybe,3,2042,1856,0.000443459,0.000507142,0.000475301,0.475301,0.970564642,0.882158656,-6.699271254,1,1,3,47.395537,-121.103848,47.394429,-121.10174,-9999,0,-9999,8/31/21 9:45,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0.018715155,0.020675594,0.027194925,0.00909715,0.010689708,0.042601618,0.158812507,0.188704807,0.176082206,0.28962047,0.078739109,0.112012647,0.290789059,0.366056898,0.073277806,0.260668266,99,72.69595051,122,64.54597459,0.401380341,0.004277587,0,0,35,0.856192,samsung,SM-T500,YC,SPS,S17R,N/A
SPS_S17R_20210831_51.jpg,Predict,3b,20210901_RC2_maybe,3,1858,1870,0.000532374,0.000506522,0.000519448,0.519448,0.965134384,0.97136776,2.488379934,1,1,3,47.395537,-121.103848,47.394429,-121.10174,-9999,0,-9999,8/31/21 9:52,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0.029781473,0.032465539,0.045961449,0.01647382,0.019509364,0.055280791,0.082242527,0.133837253,0.16849006,0.213634899,0.045980371,0.063117551,0.312942181,0.470268993,0.064103621,0.286505997,122,73.73967213,127,72.0835748,0.525006448,0.004675193,0,0,35,0.937500425,samsung,SM-T500,YC,SPS,S17R,N/A
SPS_S17R_20210831_85.jpg,Predict,3b,20210901_RC2_maybe,3,2116,1884,0.000452685,0.000490796,0.000471741,0.471741,0.998203956,0.888760044,-4.039409957,1,1,3,47.395537,-121.103848,47.394429,-121.10174,-9999,0,-9999,8/31/21 9:56,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0.017572382,0.016157435,0.025902777,0.0097236,0.011121228,0.032300862,0.05856748,0.082281842,0.069519693,0.104796973,0.024573452,0.034908653,0.147863564,0.269865957,0.037157362,0.151751613,159,72.39890126,168,70.1174756,0.758503397,0.004245361,0,0,35,0.887163792,samsung,SM-T500,YC,SPS,S17R,N/A
SPS_S19_20210830_18.jpg,Predict,3b,20210901_RC2_maybe,3,2462,2394,0.000367863,0.000387597,0.00037773,0.37773,0.92997126,0.90428562,-2.612146857,1,1,3,47.258225,-120.904118,47.258225,-120.904118,-9999,0,-9999,8/30/21 11:54,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0.024993598,0.024835752,0.03567591,0.016038018,0.01839478,0.042690176,0.067048891,0.048692553,0.050547141,0.070511653,0.02781513,0.033997621,0.078550094,0.119399792,0.043757049,0.080887182,285,76.01973789,306,72.75638072,0.204213843,0.006421452,0,0,35,0.840959637,samsung,SM-T500,YC,SPS,S19,N/A
SPS_S19E_20210830_32.jpg,Predict,3b,20210901_RC2_maybe,3,2242,2150,0.000399396,0.000427348,0.000413372,0.413372,0.926780024,0.8887498,-3.381001188,1,1,3,47.255067,-120.878922,47.255067,-120.878922,-9999,0,-9999,8/30/21 16:17,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0.010019077,0.00969017,0.014432628,0.008278049,0.009385715,0.016379129,0.02762534,0.042790297,0.038295456,0.0632396,0.012206639,0.015437018,0.082904439,0.155281787,0.019982378,0.08317288,485,67.05093134,554,62.46584567,0.207088111,0.003720307,0,0,35,0.823675561,samsung,SM-T500,YC,SPS,S19E,N/A
SPS_S20R_20210902_18.jpg,Predict,3b,20210901_RC2_maybe,3,2034,1804,0.000444417,0.000441027,0.000442722,0.442722,0.900496548,0.798670488,0.382807104,1,1,0,47.19025833,-121.0157583,47.19028,-121.01556,-9999,0,-9999,6/15/21 2:52,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0.013016137,0.012396165,0.019409248,0.006915545,0.007897451,0.02552553,0.060984519,0.071610116,0.075041141,0.103782175,0.025517503,0.038724539,0.118469701,0.163532902,0.03386035,0.10626291,394,77.70494213,414,75.39097923,0.187627116,0.002656378,0,0,35,0.719200017,samsung,SM-T500,YC,SPS,S20R,SPS; potential AI cut
SPS_S21R_20210902_68.jpg,Predict,3b,20210901_RC2_maybe,3,1716,1450,0.000630228,0.000618373,0.000624301,0.624301,1.071300516,0.90523645,0.949446381,1,1,3,47.18595278,-121.0438306,47.185797,-121.043826,-9999,0,-9999,6/15/21 1:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0.026221151,0.02580467,0.037259371,0.015854051,0.018938175,0.043202431,0.065330111,0.051957202,0.052581801,0.074114659,0.028343926,0.035055967,0.093333121,0.159095836,0.045190693,0.095813107,378,72.83896587,416,68.89225673,0.240436775,0.004994403,0,0,35,0.969780276,samsung,SM-T500,YC,SPS,S21R,N/A
SPS_S21R_20210902_69.jpg,Predict,3b,20210901_RC2_maybe,3,2184,1870,0.000431,0.000458179,0.00044459,0.44459,0.97098456,0.8313833,-3.056675621,1,1,3,47.18581111,-121.04375,47.185797,-121.043826,-9999,0,-9999,6/15/21 1:06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0.023488926,0.023372441,0.033613285,0.014606866,0.017480403,0.039095868,0.061135851,0.048607217,0.045246696,0.068471376,0.025969772,0.030724995,0.075434204,0.108261411,0.040640521,0.074893606,476,70.54289244,521,67.0445737,0.190530663,0.004446238,0,0,35,0.807260348,samsung,SM-T500,YC,SPS,S21R,N/A
SPS_S21R_20210902_103.jpg,Predict,3b,20210901_RC2_maybe,3,2070,1936,0.000422956,0.000469641,0.000446299,0.446299,0.92383893,0.864034864,-5.230292343,1,1,3,47.18586111,-121.0440556,47.185797,-121.043826,-9999,0,-9999,6/15/21 1:14,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0.011004551,0.009774222,0.015200437,0.009467432,0.010418674,0.01651889,0.022756667,0.015562517,0.013470123,0.020693026,0.01136373,0.012408518,0.02369875,0.031648251,0.016838708,0.025560136,821,65.79452984,942,61.19413185,0.113245674,0.003570192,0,0,35,0.798229044,samsung,SM-T500,YC,SPS,S21R,N/A
SPS_S24R_20210901_35.jpg,Predict,3b,20210901_RC2_maybe,3,1702,1436,0.000651756,0.000644193,0.000647975,0.647975,1.10285345,0.9304921,0.583558192,1,1,3,47.35428056,-121.1082417,47.354254,-121.108406,-9999,0,-9999,6/14/21 4:42,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0.034018893,0.027457891,0.043808809,0.015160024,0.020579465,0.056204614,0.101728097,0.103869024,0.10579353,0.154058409,0.03988679,0.056860334,0.181743755,0.300867146,0.063534338,0.189174323,269,72.85836989,288,69.98375799,0.48906004,0.005831394,0,0,35,1.026196423,samsung,SM-T500,YC,SPS,S24R,N/A
SPS_S24R_20210901_50.jpg,Predict,3b,20210901_RC2_maybe,3,1920,1792,0.000495274,0.000540666,0.00051797,0.51797,0.9945024,0.92820224,-4.381716051,1,1,3,47.35426111,-121.1082861,47.354254,-121.108406,-9999,0,-9999,6/14/21 4:47,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0.027659499,0.023826952,0.037423285,0.011811923,0.013518848,0.047898189,0.097201641,0.099536073,0.111492549,0.155618007,0.03705635,0.054481592,0.171489422,0.222446787,0.057470994,0.152741807,278,74.93106007,302,71.31792252,0.307124665,0.004661233,0,0,35,0.923099355,samsung,SM-T500,YC,SPS,S24R,N/A
SPS_S25_20210830_1.jpg,Predict,3b,20210901_RC2_maybe,3,2138,2244,0.000436679,0.000423049,0.000429864,0.429864,0.919049232,0.964614816,1.585432618,1,1,3,47.262537,-120.897057,47.262537,-120.897057,-9999,0,-9999,8/30/21 13:27,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0.016828894,0.015037432,0.023573887,0.009317304,0.010684688,0.029139431,0.04861067,0.056574645,0.052251044,0.076808763,0.020385858,0.027598262,0.088232602,0.134302377,0.03163681,0.100768895,851,73.97624465,920,70.67300543,0.335257953,0.00386907,0,0,35,0.886528506,samsung,SM-T500,YC,SPS,S25,N/A
SPS_S26R_20210831_24.jpg,Predict,3b,20210901_RC2_maybe,3,2460,2210,0.000409836,0.000461994,0.000435915,0.435915,1.0723509,0.96337215,-5.982542159,1,1,3,47.168488,-120.834427,47.168488,-120.834427,-9999,0,-9999,8/31/21 10:54,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0.022812836,0.020633184,0.032269105,0.011508805,0.013809354,0.038566608,0.070251249,0.09306459,0.098609511,0.141767025,0.030213842,0.039599886,0.160784068,0.200317569,0.047016447,0.1342535,476,73.42816639,514,70.16658696,0.267244142,0.004794703,0,0,35,1.033072992,samsung,SM-T500,YC,SPS,S26R,N/A
