COMID,D50m_YOLO,SiteID,CAT_BASIN_AREA,CAT_ELEV_MEAN,CAT_STREAM_SLOPE,CAT_STREAM_LENGTH,TOT_BASIN_AREA,TOT_ELEV_MEAN,TOT_STREAM_SLOPE,TOT_STREAM_LENGTH,CAT_PET,TOT_PET,urban,turban,CAT_PRSNOW,TOT_PRSNOW
23099678,0.020553011,T02,53.62,235.52,0,6.925,13461.46,904.57,0.035008,9985.24,725.68,545.32,11.99,4.93,23.73,45.87
23099844,0.01546147,T03,0.33,352.17,0,0.708,8977.07,1030.18,0.042324,6653.9,690.39,508.6,28.69,4.58,30,50.34
23099844,0.017005788,T03,0.33,352.17,0,0.708,8977.07,1030.18,0.042324,6653.9,690.39,508.6,28.69,4.58,30,50.34
23099884,0.01518375,S82,5.69,364.46,0,4.581,430.08,1037.17,0.041777,338.94,677.9,532.22,18.4,6,31.4,42.75
23099884,0.020579351,S82,5.69,364.46,0,4.581,430.08,1037.17,0.041777,338.94,677.9,532.22,18.4,6,31.4,42.75
23100020,0.031757131,S36,4.54,214.76,0,6.928,1205.52,686.93,0.022048,978.76,733.66,598.54,10.63,4.78,23.93,39.44
23100020,0.022061718,S36,4.54,214.76,0,6.928,1205.52,686.93,0.022048,978.76,733.66,598.54,10.63,4.78,23.93,39.44
23100020,0.022061718,S36,4.54,214.76,0,6.928,1205.52,686.93,0.022048,978.76,733.66,598.54,10.63,4.78,23.93,39.44
23100328,0.021524364,S32,1.38,354.17,0.01,1.712,704.6,892.36,0.017562,548.34,673.59,557.63,3.99,3.3,33.19,46.36
23100328,0.023066739,S32,1.38,354.17,0.01,1.712,704.6,892.36,0.017562,548.34,673.59,557.63,3.99,3.3,33.19,46.36
23100338,0.018157706,S31,3.58,417.56,0.01,2.127,264.54,958.72,0.010713,208.16,652.79,543.37,4.4,3.33,34.1,47.52
23100338,0.019904418,S31,3.58,417.56,0.01,2.127,264.54,958.72,0.010713,208.16,652.79,543.37,4.4,3.33,34.1,47.52
23100338,0.018140627,S31,3.58,417.56,0.01,2.127,264.54,958.72,0.010713,208.16,652.79,543.37,4.4,3.33,34.1,47.52
23100338,0.018157706,S31,3.58,417.56,0.01,2.127,264.54,958.72,0.010713,208.16,652.79,543.37,4.4,3.33,34.1,47.52
23100398,0.034937738,S30R,3.51,610.6,0.01,1.966,256.12,1001.71,0.028478,180.84,591.76,531.79,5.85,3.89,43,50.82
23100398,0.036314798,S30R,3.51,610.6,0.01,1.966,256.12,1001.71,0.028478,180.84,591.76,531.79,5.85,3.89,43,50.82
23100398,0.035442467,S30R,3.51,610.6,0.01,1.966,256.12,1001.71,0.028478,180.84,591.76,531.79,5.85,3.89,43,50.82
23100398,0.020713774,S30R,3.51,610.6,0.01,1.966,256.12,1001.71,0.028478,180.84,591.76,531.79,5.85,3.89,43,50.82
23100398,0.019141514,S30R,3.51,610.6,0.01,1.966,256.12,1001.71,0.028478,180.84,591.76,531.79,5.85,3.89,43,50.82
23100398,0.020917135,S30R,3.51,610.6,0.01,1.966,256.12,1001.71,0.028478,180.84,591.76,531.79,5.85,3.89,43,50.82
23100398,0.019141514,S30R,3.51,610.6,0.01,1.966,256.12,1001.71,0.028478,180.84,591.76,531.79,5.85,3.89,43,50.82
23100404,0.02207239,S63,2.59,739.32,0.02,1.644,183.58,1032.11,0.030454,132.33,552.21,523.14,11.93,4.33,53,51.77
23100404,0.035586287,S63,2.59,739.32,0.02,1.644,183.58,1032.11,0.030454,132.33,552.21,523.14,11.93,4.33,53,51.77
23100404,0.029336159,S63,2.59,739.32,0.02,1.644,183.58,1032.11,0.030454,132.33,552.21,523.14,11.93,4.33,53,51.77
23100404,0.029336159,S63,2.59,739.32,0.02,1.644,183.58,1032.11,0.030454,132.33,552.21,523.14,11.93,4.33,53,51.77
23100428,0.020661334,S37,6.56,803.19,0.02,3.112,97.09,1104.47,0.038062,56.75,541.39,505.24,6.07,4.99,53,54.46
23100428,0.025739469,S37,6.56,803.19,0.02,3.112,97.09,1104.47,0.038062,56.75,541.39,505.24,6.07,4.99,53,54.46
23100428,0.020392003,S37,6.56,803.19,0.02,3.112,97.09,1104.47,0.038062,56.75,541.39,505.24,6.07,4.99,53,54.46
23100428,0.045665357,S37,6.56,803.19,0.02,3.112,97.09,1104.47,0.038062,56.75,541.39,505.24,6.07,4.99,53,54.46
23100434,0.021534419,S39,5.58,872.22,0.03,3.821,48.07,1252.15,0.04654,24.71,522.46,482.43,7.23,6.05,53,56.81
23100434,0.022514405,S39,5.58,872.22,0.03,3.821,48.07,1252.15,0.04654,24.71,522.46,482.43,7.23,6.05,53,56.81
23100434,0.035698077,S39,5.58,872.22,0.03,3.821,48.07,1252.15,0.04654,24.71,522.46,482.43,7.23,6.05,53,56.81
23100434,0.027392638,S39,5.58,872.22,0.03,3.821,48.07,1252.15,0.04654,24.71,522.46,482.43,7.23,6.05,53,56.81
23100434,0.030848738,S39,5.58,872.22,0.03,3.821,48.07,1252.15,0.04654,24.71,522.46,482.43,7.23,6.05,53,56.81
23100434,0.03037849,S39,5.58,872.22,0.03,3.821,48.07,1252.15,0.04654,24.71,522.46,482.43,7.23,6.05,53,56.81
23105314,0.027547443,S38,1.33,791.5,0.03,1.286,19.8,960.62,0.025741,17.87,532.8,527.1,4.69,3.11,53,51.55
23105314,0.022694039,S38,1.33,791.5,0.03,1.286,19.8,960.62,0.025741,17.87,532.8,527.1,4.69,3.11,53,51.55
23105314,0.027249922,S38,1.33,791.5,0.03,1.286,19.8,960.62,0.025741,17.87,532.8,527.1,4.69,3.11,53,51.55
23105314,0.02210198,S38,1.33,791.5,0.03,1.286,19.8,960.62,0.025741,17.87,532.8,527.1,4.69,3.11,53,51.55
24125633,0.012105343,S19E,1.57,705.59,0.01,1.712,245.93,1209.26,0.0467,202.57,538.98,450.17,8.43,1.94,48.25,60.98
24125633,0.012788051,S19E,1.57,705.59,0.01,1.712,245.93,1209.26,0.0467,202.57,538.98,450.17,8.43,1.94,48.25,60.98
24125633,0.012916703,S19E,1.57,705.59,0.01,1.712,245.93,1209.26,0.0467,202.57,538.98,450.17,8.43,1.94,48.25,60.98
24125699,0.013225585,S25,8.11,785.59,0.02,6.985,77.73,1266.49,0.057011,62.97,524.37,437.29,5.74,1,49.62,59.26
24125699,0.018871472,S25,8.11,785.59,0.02,6.985,77.73,1266.49,0.057011,62.97,524.37,437.29,5.74,1,49.62,59.26
24125699,0.053912263,S25,8.11,785.59,0.02,6.985,77.73,1266.49,0.057011,62.97,524.37,437.29,5.74,1,49.62,59.26
24125699,0.033116753,S25,8.11,785.59,0.02,6.985,77.73,1266.49,0.057011,62.97,524.37,437.29,5.74,1,49.62,59.26
24125729,0.021129621,S19,2.91,749.45,0.01,2.067,93.22,1085.34,0.046665,87.86,535.75,478.3,4.63,1.67,49.03,55.71
24125729,0.037080639,S19,2.91,749.45,0.01,2.067,93.22,1085.34,0.046665,87.86,535.75,478.3,4.63,1.67,49.03,55.71
24125729,0.022955296,S19,2.91,749.45,0.01,2.067,93.22,1085.34,0.046665,87.86,535.75,478.3,4.63,1.67,49.03,55.71
24125729,0.027517364,S19,2.91,749.45,0.01,2.067,93.22,1085.34,0.046665,87.86,535.75,478.3,4.63,1.67,49.03,55.71
24125729,0.04601652,S19,2.91,749.45,0.01,2.067,93.22,1085.34,0.046665,87.86,535.75,478.3,4.63,1.67,49.03,55.71
24125789,0.015404561,S23,14.76,822.87,0,0.92,1329.98,1129.26,0.062353,970.6,533.39,454.57,7.57,4.3,47.37,59.29
24125789,0.0127792,S23,14.76,822.87,0,0.92,1329.98,1129.26,0.062353,970.6,533.39,454.57,7.57,4.3,47.37,59.29
24125789,0.013268397,S23,14.76,822.87,0,0.92,1329.98,1129.26,0.062353,970.6,533.39,454.57,7.57,4.3,47.37,59.29
24125789,0.02077466,S23,14.76,822.87,0,0.92,1329.98,1129.26,0.062353,970.6,533.39,454.57,7.57,4.3,47.37,59.29
24125811,0.017395781,S20R,5.81,666.02,0,3.347,571.72,1257.87,0.074007,461.31,550.3,434.69,20.74,2.09,49.3,63.38
24125811,0.021513444,S20R,5.81,666.02,0,3.347,571.72,1257.87,0.074007,461.31,550.3,434.69,20.74,2.09,49.3,63.38
24125811,0.016235602,S20R,5.81,666.02,0,3.347,571.72,1257.87,0.074007,461.31,550.3,434.69,20.74,2.09,49.3,63.38
24125811,0.034626408,S20R,5.81,666.02,0,3.347,571.72,1257.87,0.074007,461.31,550.3,434.69,20.74,2.09,49.3,63.38
24125811,0.021026883,S20R,5.81,666.02,0,3.347,571.72,1257.87,0.074007,461.31,550.3,434.69,20.74,2.09,49.3,63.38
24125859,0.025574114,S24R,1.63,771.7,0.01,0.947,429.57,1367.19,0.085202,352.81,466.7,413.86,10.84,0.75,58.94,66.71
24125859,0.016446323,S24R,1.63,771.7,0.01,0.947,429.57,1367.19,0.085202,352.81,466.7,413.86,10.84,0.75,58.94,66.71
24125859,0.036775073,S24R,1.63,771.7,0.01,0.947,429.57,1367.19,0.085202,352.81,466.7,413.86,10.84,0.75,58.94,66.71
24125859,0.029679036,S24R,1.63,771.7,0.01,0.947,429.57,1367.19,0.085202,352.81,466.7,413.86,10.84,0.75,58.94,66.71
24125873,0.017773406,S18R,0.43,740.14,0.01,0.753,293.92,1424.85,0.093768,241.98,456.86,406.14,11.6,0.46,64,68.54
24125873,0.023483996,S18R,0.43,740.14,0.01,0.753,293.92,1424.85,0.093768,241.98,456.86,406.14,11.6,0.46,64,68.54
24125873,0.034107597,S18R,0.43,740.14,0.01,0.753,293.92,1424.85,0.093768,241.98,456.86,406.14,11.6,0.46,64,68.54
24125873,0.020109269,S18R,0.43,740.14,0.01,0.753,293.92,1424.85,0.093768,241.98,456.86,406.14,11.6,0.46,64,68.54
24125873,0.021708397,S18R,0.43,740.14,0.01,0.753,293.92,1424.85,0.093768,241.98,456.86,406.14,11.6,0.46,64,68.54
24125873,0.018076067,S18R,0.43,740.14,0.01,0.753,293.92,1424.85,0.093768,241.98,456.86,406.14,11.6,0.46,64,68.54
24125873,0.023788013,S18R,0.43,740.14,0.01,0.753,293.92,1424.85,0.093768,241.98,456.86,406.14,11.6,0.46,64,68.54
24125873,0.054565438,S18R,0.43,740.14,0.01,0.753,293.92,1424.85,0.093768,241.98,456.86,406.14,11.6,0.46,64,68.54
24125883,0.016144827,S13R,5.08,1112.25,0.02,2.851,135.11,1475.27,0.108994,116.52,433.65,394.46,2.06,0.81,65.99,70.21
24125883,0.015694986,S13R,5.08,1112.25,0.02,2.851,135.11,1475.27,0.108994,116.52,433.65,394.46,2.06,0.81,65.99,70.21
24125883,0.025728419,S13R,5.08,1112.25,0.02,2.851,135.11,1475.27,0.108994,116.52,433.65,394.46,2.06,0.81,65.99,70.21
24125883,0.016294474,S13R,5.08,1112.25,0.02,2.851,135.11,1475.27,0.108994,116.52,433.65,394.46,2.06,0.81,65.99,70.21
24125883,0.021206364,S13R,5.08,1112.25,0.02,2.851,135.11,1475.27,0.108994,116.52,433.65,394.46,2.06,0.81,65.99,70.21
24125883,0.023637629,S13R,5.08,1112.25,0.02,2.851,135.11,1475.27,0.108994,116.52,433.65,394.46,2.06,0.81,65.99,70.21
24125883,0.023409631,S13R,5.08,1112.25,0.02,2.851,135.11,1475.27,0.108994,116.52,433.65,394.46,2.06,0.81,65.99,70.21
24125945,0.062875602,S14,8.88,1088.03,0.01,3.41,137.3,1403.09,0.083294,105.77,442.04,413.85,0,0,64,67.02
24125945,0.036050203,S14,8.88,1088.03,0.01,3.41,137.3,1403.09,0.083294,105.77,442.04,413.85,0,0,64,67.02
24125945,0.044853009,S14,8.88,1088.03,0.01,3.41,137.3,1403.09,0.083294,105.77,442.04,413.85,0,0,64,67.02
24125945,0.048631931,S14,8.88,1088.03,0.01,3.41,137.3,1403.09,0.083294,105.77,442.04,413.85,0,0,64,67.02
24125945,0.03313139,S14,8.88,1088.03,0.01,3.41,137.3,1403.09,0.083294,105.77,442.04,413.85,0,0,64,67.02
24125945,0.040645546,S14,8.88,1088.03,0.01,3.41,137.3,1403.09,0.083294,105.77,442.04,413.85,0,0,64,67.02
24125999,0.022367015,S17R,0.23,719.29,0.01,0.758,96.14,1269.46,0.069168,79.95,457,423.61,10,0.9,64,63.38
24125999,0.014540539,S17R,0.23,719.29,0.01,0.758,96.14,1269.46,0.069168,79.95,457,423.61,10,0.9,64,63.38
24125999,0.015471752,S17R,0.23,719.29,0.01,0.758,96.14,1269.46,0.069168,79.95,457,423.61,10,0.9,64,63.38
24125999,0.019331032,S17R,0.23,719.29,0.01,0.758,96.14,1269.46,0.069168,79.95,457,423.61,10,0.9,64,63.38
24125999,0.015365991,S17R,0.23,719.29,0.01,0.758,96.14,1269.46,0.069168,79.95,457,423.61,10,0.9,64,63.38
24125999,0.034458098,S17R,0.23,719.29,0.01,0.758,96.14,1269.46,0.069168,79.95,457,423.61,10,0.9,64,63.38
24125999,0.025747037,S17R,0.23,719.29,0.01,0.758,96.14,1269.46,0.069168,79.95,457,423.61,10,0.9,64,63.38
24125999,0.036112302,S17R,0.23,719.29,0.01,0.758,96.14,1269.46,0.069168,79.95,457,423.61,10,0.9,64,63.38
24125999,0.021440451,S17R,0.23,719.29,0.01,0.758,96.14,1269.46,0.069168,79.95,457,423.61,10,0.9,64,63.38
24125999,0.020994172,S17R,0.23,719.29,0.01,0.758,96.14,1269.46,0.069168,79.95,457,423.61,10,0.9,64,63.38
24126041,0.01523065,S15,4.86,1126.09,0.09,4.282,16.36,1318.18,0.057309,12.04,452.34,433.46,2.07,1.11,59.21,59.68
24126041,0.022355255,S15,4.86,1126.09,0.09,4.282,16.36,1318.18,0.057309,12.04,452.34,433.46,2.07,1.11,59.21,59.68
24126041,0.021998008,S15,4.86,1126.09,0.09,4.282,16.36,1318.18,0.057309,12.04,452.34,433.46,2.07,1.11,59.21,59.68
24126041,0.014782914,S15,4.86,1126.09,0.09,4.282,16.36,1318.18,0.057309,12.04,452.34,433.46,2.07,1.11,59.21,59.68
