File_Name,File_Description,Standard,Start_Date,End_Date,Missing_Value_Codes,File_Path
221114_usgs_d50_matched.csv,This file contains information about USGS sampling site locations and d50 measurements,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (2021); ESS-DIVE Reporting Format for Sample ID and Metadata (Damerow et al. 2020),-9999,-9999,NA,data/221114_usgs_d50_matched.csv
221115_rc2_master.csv,"This file contains information about sampling sites and d50 estimates for YOLO, NEXSS and Abeshu methods described in the methods of the manuscript associated with this repository",ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (2021); ESS-DIVE Reporting Format for Sample ID and Metadata (Damerow et al. 2020),-9999,-9999,NA,data/221115_rc2_master.csv
abeyshu_fig1_digitized.csv,This file contains information about d50 values extracted from a digitized version of Figure 2 in Abeshu et al. (2022) - reference in bibliography of manuscript associated with this repository,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (2021); ESS-DIVE Reporting Format for Sample ID and Metadata (Damerow et al. 2020),-9999,-9999,NA,data/abeyshu_fig1_digitized.csv
d50_dd.csv,This file contains definitions for all column names used in data files in this repository,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (2021); ESS-DIVE Reporting Format for Sample ID and Metadata (Damerow et al. 2020),-9999,-9999,NA,data/d50_dd.csv
d50_Train1_Prediction1_40.csv,"This file contains information about images used for YOLO d50 estimates, YOLO d50 estimates, and YOLO model diagnostics",ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (2021); ESS-DIVE Reporting Format for Sample ID and Metadata (Damerow et al. 2020),-9999,-9999,NA,data/d50_Train1_Prediction1_40.csv
GIS,This folder contains publicly available watershed geospatial information. See Critical Details in readme for additional information,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (2021); ESS-DIVE Reporting Format for Sample ID and Metadata (Damerow et al. 2020),-9999,-9999,NA,data/GIS/*
nhd_yrb_D50_variable_updated.csv,This file contains information about site characteristics used for correlation analyses,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (2021); ESS-DIVE Reporting Format for Sample ID and Metadata (Damerow et al. 2020),-9999,-9999,NA,data/nhd_yrb_D50_variable_updated.csv
RC2 Spatial Study_Responses_Form Responses 1_updated 2022-02-01.csv,This file contains spatial information about sampling sites,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (2021); ESS-DIVE Reporting Format for Sample ID and Metadata (Damerow et al. 2020),-9999,-9999,NA,data/RC2 Spatial Study_Responses_Form Responses 1_updated 2022-02-01.csv
RC2_all_D50.csv,This file contains estimates of d50 for sampling sites based on NEXSS and Abeshu modeling approaches,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (2021); ESS-DIVE Reporting Format for Sample ID and Metadata (Damerow et al. 2020),-9999,-9999,NA,data/RC2_all_D50.csv
RC2_all_stream_Attributes_updated_VGC.csv,This file contains information about sampling sites,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (2021); ESS-DIVE Reporting Format for Sample ID and Metadata (Damerow et al. 2020),-9999,-9999,NA,data/RC2_all_stream_Attributes_updated_VGC.csv
TrainTest_IndividualGrains,This folder contains files for YOLO model of individual images,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (2021); ESS-DIVE Reporting Format for Sample ID and Metadata (Damerow et al. 2020),-9999,-9999,NA,data/TrainTest_IndividualGrains/*
