site_no,nearest_feature,stream_order,d50_mm_usgs,longitude,latitude
12478300,6026,5,0.592592593,-121.1073122,47.35511609
12500900,5632,3,0.080985915,-120.9575742,46.49206588
12479720,484,2,0.293103448,-120.8675843,47.3415084
12500437,6012,4,0.22,-120.6106234,46.58207028
463501120353300,6012,4,0.080882353,-120.5936785,46.5834593
12484550,110,3,0.206578947,-120.4972898,46.8573485
12507508,1087,5,0.269230769,-120.1992173,46.31429626
12508620,1098,5,0.091032609,-120.1433811,46.2737412
461744119522400,2884,1,0.11875,-119.8744822,46.29541
461652119522000,2889,2,0.090561224,-119.8733709,46.28096559
12510500,4312,7,0.236712598,-119.4780794,46.25346748
