stream_order,site_id,longitude,latitude,type,folder,label,d50_mm_yolo,d50_mm_nexss,d50_mm_abeshu
4,S14,-121.087854,47.41986,Prediction1,no,3,36.05020344,24.79009001,1.3633813
4,S14,-121.087854,47.41986,Prediction1,no,3,44.85300877,24.79009001,1.3633813
4,S14,-121.087854,47.41986,Prediction1,no,3,48.63193113,24.79009001,1.3633813
4,S14,-121.087854,47.41986,Prediction1,no,3,33.13138983,24.79009001,1.3633813
4,S14,-121.087854,47.41986,Prediction1,no,3,40.64554592,24.79009001,1.3633813
4,S14,-121.087854,47.41986,Prediction1,yes,5,62.87560191,24.79009001,1.3633813
2,S15,-121.106919,47.363498,Train1,none,0,15.23064998,14.477327,0.6839447
2,S15,-121.106919,47.363498,Prediction1,maybe,2,45.82993175,14.477327,0.6839447
2,S15,-121.106919,47.363498,Prediction1,maybe,2,44.06360219,14.477327,0.6839447
2,S15,-121.106919,47.363498,Prediction1,test,4,22.35525538,14.477327,0.6839447
2,S15,-121.106919,47.363498,Prediction1,yes,5,21.99800757,14.477327,0.6839447
2,S15,-121.106919,47.363498,Prediction1,yes,5,14.78291409,14.477327,0.6839447
2,S15,-121.106919,47.363498,Prediction1,yes,5,39.98863559,14.477327,0.6839447
2,S15,-121.106919,47.363498,Prediction1,yes,5,14.20123452,14.477327,0.6839447
6,S23,-120.918817,47.185944,Prediction1,yes,5,15.40456124,65.5549375,1.9481776
6,S23,-120.918817,47.185944,Prediction1,yes,5,12.77919975,65.5549375,1.9481776
6,S23,-120.918817,47.185944,Prediction1,yes,5,13.26839739,65.5549375,1.9481776
6,S23,-120.918817,47.185944,Prediction1,yes,5,20.7746603,65.5549375,1.9481776
4,S31,-120.480969,46.205978,Prediction1,VerticalQuadrat,1,18.15770579,3.430043875,0.605099
4,S31,-120.480969,46.205978,Prediction1,maybe,2,18.15770579,3.430043875,0.605099
4,S31,-120.480969,46.205978,Prediction1,no,3,19.90441789,3.430043875,0.605099
4,S31,-120.480969,46.205978,Prediction1,no,3,18.1406267,3.430043875,0.605099
5,S32,-120.4191547,46.23559571,Prediction1,maybe,2,23.06673937,2.0958457,1.2134471
5,S32,-120.4191547,46.23559571,Prediction1,yes,5,21.52436412,2.0958457,1.2134471
5,S36,-120.199171,46.314573,Prediction1,VerticalQuadrat,1,22.0617175,0.4924213,0.663722
5,S36,-120.199171,46.314573,Prediction1,no,3,31.75713059,0.4924213,0.663722
5,S36,-120.199171,46.314573,Prediction1,no,3,22.0617175,0.4924213,0.663722
3,S37,-120.611858,46.028244,Prediction1,maybe,2,25.73946865,2.184004552,0.5007477
3,S37,-120.611858,46.028244,Prediction1,no,3,20.39200276,2.184004552,0.5007477
3,S37,-120.611858,46.028244,Prediction1,no,3,45.66535742,2.184004552,0.5007477
3,S37,-120.611858,46.028244,Prediction1,yes,5,20.66133373,2.184004552,0.5007477
2,S38,-120.636526,46.029003,Prediction1,maybe,2,27.54744308,1.961461408,1.496712
2,S38,-120.636526,46.029003,Prediction1,maybe,2,22.69403883,1.961461408,1.496712
2,S38,-120.636526,46.029003,Prediction1,maybe,2,27.24992205,1.961461408,1.496712
2,S38,-120.636526,46.029003,Prediction1,no,3,22.10197957,1.961461408,1.496712
2,S39,-120.649701,46.016704,Prediction1,maybe,2,21.53441904,1.891390454,2.1839554
2,S39,-120.649701,46.016704,Prediction1,maybe,2,22.51440461,1.891390454,2.1839554
2,S39,-120.649701,46.016704,Prediction1,maybe,2,35.69807712,1.891390454,2.1839554
2,S39,-120.649701,46.016704,Prediction1,maybe,2,27.39263761,1.891390454,2.1839554
2,S39,-120.649701,46.016704,Prediction1,maybe,2,30.8487383,1.891390454,2.1839554
2,S39,-120.649701,46.016704,Prediction1,no,3,30.37849008,1.891390454,2.1839554
5,S51,-120.803616,46.729878,Prediction1,maybe,2,23.49870847,41.76372637,0.7623739
5,S51,-120.803616,46.729878,Prediction1,yes,5,14.94879865,41.76372637,0.7623739
4,S55,-120.805047,46.663547,Prediction1,maybe,2,24.6055636,4.707493925,1.2141032
4,S56,-120.626954,46.620687,Prediction1,maybe,2,18.09342348,1.452887896,0.2818825
4,S63,-120.573226,46.041823,Prediction1,VerticalQuadrat,1,29.33615892,4.070785795,0.59107137
4,S63,-120.573226,46.041823,Prediction1,no,3,29.33615892,4.070785795,0.59107137
4,S63,-120.573226,46.041823,Prediction1,no,3,22.07239023,4.070785795,0.59107137
4,S63,-120.573226,46.041823,Prediction1,no,3,35.58628741,4.070785795,0.59107137
7,T02,-119.999901,46.232095,Prediction1,no,3,20.55301117,0.6258384,0.28501967
7,T03,-120.470337,46.530817,Prediction1,maybe,2,17.00578772,2.0336484,0.94312614
7,T03,-120.470337,46.530817,Prediction1,yes,5,15.46147018,2.0336484,0.94312614
7,T07,-119.47405,46.255319,Train1,none,0,12.84753085,5.1026399,0.42117113
7,T07,-119.47405,46.255319,Prediction1,test,4,11.7987418,5.1026399,0.42117113
7,T07,-119.47405,46.255319,Prediction1,yes,5,11.66046254,5.1026399,0.42117113
4,S13R,-121.086972,47.420551,Prediction1,no,3,23.40963091,42.33093973,1.4370929
4,S13R,-121.086972,47.420551,Prediction1,yes,5,16.14482678,42.33093973,1.4370929
4,S13R,-121.086972,47.420551,Prediction1,yes,5,15.69498608,42.33093973,1.4370929
4,S13R,-121.086972,47.420551,Prediction1,yes,5,25.72841867,42.33093973,1.4370929
4,S13R,-121.086972,47.420551,Prediction1,yes,5,16.29447435,42.33093973,1.4370929
4,S13R,-121.086972,47.420551,Prediction1,yes,5,21.20636393,42.33093973,1.4370929
4,S13R,-121.086972,47.420551,Prediction1,yes,5,23.63762883,42.33093973,1.4370929
3,S17R,-121.10174,47.394429,Prediction1,maybe,2,25.7470375,48.66764834,1.3633813
3,S17R,-121.10174,47.394429,Prediction1,maybe,2,36.11230229,48.66764834,1.3633813
3,S17R,-121.10174,47.394429,Prediction1,maybe,2,21.44045101,48.66764834,1.3633813
3,S17R,-121.10174,47.394429,Prediction1,no,3,20.99417161,48.66764834,1.3633813
3,S17R,-121.10174,47.394429,Prediction1,yes,5,22.36701501,48.66764834,1.3633813
3,S17R,-121.10174,47.394429,Prediction1,yes,5,14.54053886,48.66764834,1.3633813
3,S17R,-121.10174,47.394429,Prediction1,yes,5,15.47175173,48.66764834,1.3633813
3,S17R,-121.10174,47.394429,Prediction1,yes,5,19.33103249,48.66764834,1.3633813
3,S17R,-121.10174,47.394429,Prediction1,yes,5,15.36599052,48.66764834,1.3633813
3,S17R,-121.10174,47.394429,Prediction1,yes,5,34.45809755,48.66764834,1.3633813
5,S18R,-121.096933,47.39603,Train1,none,0,17.77340644,91.7347576,2.238602
5,S18R,-121.096933,47.39603,Prediction1,no,3,54.5654383,91.7347576,2.238602
5,S18R,-121.096933,47.39603,Prediction1,test,4,23.48399575,91.7347576,2.238602
5,S18R,-121.096933,47.39603,Prediction1,yes,5,34.10759678,91.7347576,2.238602
5,S18R,-121.096933,47.39603,Prediction1,yes,5,20.10926939,91.7347576,2.238602
5,S18R,-121.096933,47.39603,Prediction1,yes,5,21.70839742,91.7347576,2.238602
5,S18R,-121.096933,47.39603,Prediction1,yes,5,18.07606749,91.7347576,2.238602
5,S18R,-121.096933,47.39603,Prediction1,yes,5,23.78801324,91.7347576,2.238602
3,S19,-120.904118,47.258225,Prediction1,maybe,2,27.51736421,8.821904652,1.6317056
3,S19,-120.904118,47.258225,Prediction1,no,3,46.01652028,8.821904652,1.6317056
3,S19,-120.904118,47.258225,Prediction1,yes,5,21.12962114,8.821904652,1.6317056
3,S19,-120.904118,47.258225,Prediction1,yes,5,37.08063938,8.821904652,1.6317056
3,S19,-120.904118,47.258225,Prediction1,yes,5,22.95529608,8.821904652,1.6317056
