COMID,stream_order,site_id
24125883,4,S13R
24125945,4,S14
24126041,2,S15
24125999,3,S17R
24125873,5,S18R
24125729,3,S19
24125633,4,S19E
24125811,5,S20R
24126061,5,S21R
24125789,6,S23
24125859,5,S24R
24125699,3,S25
947030170,5,S26R
24126823,2,S27R
24131037,4,S28R
24125567,6,S28RE
24126251,4,S29R
23100398,4,S30R
23100338,4,S31
23100328,5,S32
23100020,5,S36
23100428,3,S37
23105314,2,S38
23100434,2,S39
24423233,5,S49R
24423233,5,S51
24423517,4,S55
24423479,4,S56
23100404,4,S63
24126327,4,S71
24126315,4,S72
24131135,4,S75
24423479,4,S77
23099884,4,S82
24126203,3,S83
23099678,7,T02
23099844,7,T03
947030105,7,T07
24126427,3,U20 
24126487,4,W20 
